,EC_Multi_layer_fNIRS_right
207,0.08148563037191496
208,0.034759780435353126
209,0.24502233388138384
210,0.02809941010925961
211,0.2450223338813839
212,0.006884983045660951
213,0.08148563037191493
214,0.02627575942854177
215,0.02627575942854176
216,0.24502233388138386
217,0.008516922527474657
218,0.026275759428541743
219,0.24502233388138384
220,0.24092337453419546
221,0.0531255196276057
222,0.0776604772590017
223,0.14569898554744604
224,0.046965358905684096
225,0.024374405930798593
226,0.6647780899274968
227,0.046965358905684186
228,0.2158898976465477
229,0.3223451332157019
230,0.06554461658420159
231,0.024374405930798575
232,0.05865172012073061
233,0.04575648154072446
234,0.40503149333141636
235,0.21428798195655882
236,0.07708423196744621
237,0.14194872770145367
238,0.21588989764654765
239,0.053125519627605776
240,0.182208776781697
241,0.35972260909654286
242,0.3223451332157019
243,0.05990192229391027
244,0.127199348563727
245,0.1456989855474462
246,0.12719934856372705
247,0.394606077327092
248,0.21428798195655882
249,1.0
250,0.018906096535646916
251,0.13055993067447014
252,0.2391357089789353
253,0.16480943607749798
254,0.11595483234992492
255,0.6697476567827753
256,0.32234513321570196
257,0.07561586454754407
258,0.021127988164406628
259,0.18583163237592884
260,0.058734112424766206
261,0.16304707749128308
262,0.44098116793437847
263,0.05255743191435855
264,0.020149132869562988
265,0.024053224415809482
266,0.0580388696935764
267,0.4135144158302704
268,0.006184623609096657
269,0.050707910848409345
270,1.0
271,0.3131270438677334
272,0.05803886969357648
273,0.05076337065085307
274,0.12631119254857562
275,0.10870712068058659
276,0.35267849419787706
277,0.17022620263282265
278,0.4115142913193396
279,0.006184623609096619
280,0.1503700982249885
281,0.015878018224671046
282,0.020379068722182026
283,0.020887551599363122
284,0.16708858376087637
285,0.0523199542970895
286,0.34716618321381826
287,0.06670631620112116
288,0.020887551599363296
289,0.16211749079167892
290,0.18535246581286138
291,0.31312704386773343
292,0.019751164040973098
293,0.026986891709688553
294,0.02088755159936327
295,0.05076337065085297
296,0.009368936191657379
297,0.31312704386773343
298,0.3131270438677333
299,0.06434810810552084
300,0.4162103688156756
301,0.06508242938859796
302,0.12885625355014999
303,0.024053224415809402
304,0.02037906872218229
305,0.05330242761924547
306,0.0029336672938792227
307,0.07681618335709757
308,0.35336690089046335
309,0.10982142230826797
310,0.1783950908191071
311,0.2162622995545026
312,0.09870829339691346
313,0.23317130941436107
314,0.02540611395646357
315,0.27933655684268893
316,0.35336690089046335
317,0.1783950908191071
318,0.015696751838431038
319,0.09415155505021335
320,0.05881169384181328
321,0.025406113956463784
322,0.08239502298432398
323,0.015696751838431063
324,0.04016257564786126
325,0.35336690089046335
326,0.015696751838431253
327,0.09415155505021305
328,0.03327004322211164
329,0.2300088941414167
330,0.12718104639865746
331,0.0718972656817658
332,0.35336690089046335
333,0.07189726568176608
334,0.35336690089046346
335,0.281477252396269
336,0.4121785947322767
337,0.033270043222111474
338,0.17805738389970083
339,0.09870829339691352
340,0.17839509081910712
341,0.0388072556524554
342,0.6120049699322007
343,0.650906730544961
