,EC_Multi_layer_EEG_right
377,0.40034923283828483
378,0.6174550183873615
379,0.46078789549298704
380,0.5452449083401817
381,0.4609789700188169
382,0.6647305538186324
383,0.5325970105545687
384,0.3967703290394476
385,0.388598733481125
386,0.36998865158409944
387,0.3926628444062873
388,1.0
389,0.5807772252031149
390,0.5896262908781778
391,0.413658597901209
392,0.6895453945378841
393,0.6287463065940069
394,0.3137469249339988
395,0.46159070676191283
396,0.6318196162320334
397,0.415408230503096
398,0.37783861171666805
399,0.8497847710266402
400,0.5341798414036771
401,0.4827578374203826
402,0.6092194302047649
403,0.39835456918188444
404,0.5095537741462174
405,0.660369642995371
406,0.653102855144464
407,0.4380372050897803
408,0.6102910262775986
409,0.533608256815474
410,0.5745404479275341
411,0.5076202891222271
412,0.3949786872113287
413,0.3002226658457921
414,0.35431335655356555
415,0.23594152285963454
416,1.0
417,0.530491458332485
418,0.6187980166380949
419,0.3729164289673473
420,0.6997776103748528
421,0.47175628168072503
422,0.4075863940974815
423,0.5601795668314112
424,0.8625478484393457
425,0.43562181385839016
426,0.3779049805839519
427,0.327224941726688
428,0.690058173197775
429,0.2651105062621864
430,0.41837785035989505
431,0.55722352885733
432,0.4806937270074777
433,0.5188797867954846
434,0.660637969305155
435,0.37418767110493256
436,0.4859247963935363
437,0.2730466525799057
438,0.46892730449146885
439,0.36245604439506324
440,0.4156481572542487
441,0.4194240736257919
442,0.3028722260463241
443,0.6992031924664035
444,0.3420110407025012
445,0.39195642675861636
446,0.3406353735843421
447,0.6016995735313815
448,0.7890409900168608
449,0.3433359714425492
450,0.7297596948865236
451,0.4805383390840569
452,0.5814518995877335
453,0.4995845170945454
454,0.6831492122642895
455,0.3929519616352167
456,0.2832377064388004
457,0.3112485400601546
458,0.4400418546923513
459,0.37819170910262667
460,0.37062242320179595
461,1.0
462,0.28757169653102493
463,0.801615154427303
464,0.2788331115978157
465,0.7980693167702595
466,0.40528368349567
467,0.5220332538461657
468,0.7089179536028001
469,0.906757663439805
470,0.5487671174226043
471,0.35304505722310087
472,0.571815200506885
473,0.4942496852497379
474,0.3698716940316787
475,0.6297136784120246
476,0.5696825558481763
477,0.3510751348127152
478,0.6477212384720787
479,0.8956533765982353
480,0.7488791218299095
481,0.6625075635900496
482,0.916075243246288
483,0.585097218096829
484,0.3253438518158023
485,0.4457904374038432
486,0.3134889934972517
487,0.4292342944684239
488,0.6608537015025603
489,0.3675508898826841
490,0.5187961996013218
491,0.346240948130163
492,0.45625175846658517
493,0.36536904627443034
494,0.43901270315833807
495,0.9040702609139344
496,0.4675937449439516
497,0.2623881987642676
498,0.5895780308199079
499,0.40636317687846873
500,0.5869895819967947
501,0.455965980128667
502,0.35877493803785293
503,0.35095978412051837
504,0.29441390519066635
505,0.38341958461357456
506,0.5006158979050803
507,0.3022711330361147
508,0.4838059420227647
509,0.37364490525201044
510,0.5385438560288387
511,0.4654959664472025
512,0.5534625655298407
513,0.6084348828782237
514,0.6976154523927955
515,0.6790444574717102
516,0.5466317733798804
517,0.6080029988877766
518,0.318573106498287
519,0.48349521797293443
520,0.45951189892161515
