,EC_Multi_layer_fNIRS_left
98,0.031119496857877838
99,0.1581235081080101
100,0.05240359303563827
101,0.027105027118392005
102,0.3464865374303819
103,0.8270549971514779
104,0.37654147045207337
105,0.8988786175699733
106,0.04424258475398632
107,0.053969279997552314
108,0.6250975933244945
109,0.08581335347399717
110,0.09912498383126861
111,0.5776118006310008
112,1.0
113,0.4172001785966908
114,0.028625659976092493
115,0.32658470825939956
116,0.38216655906188474
117,0.12471486619796539
118,0.08536481174505822
119,0.1393188418962665
120,0.0599689373339157
121,0.38799370054302423
122,0.06297022319049678
123,0.028898451046409382
124,0.021267795708161223
125,0.041314124513378604
126,0.19069308269564297
127,0.29095931639752987
128,0.13255816465255957
129,0.3214897016536172
130,0.028157799248736105
131,0.0414388377768727
132,0.2618953650264303
133,0.897903396328409
134,0.26839011546513875
135,0.25648207147341584
136,0.5192714041813553
137,0.5513377289998049
138,0.3319911429291631
139,0.2392330874728529
140,0.4280855860954842
141,0.7626035832637604
142,0.17430670127242115
143,0.42973484914910526
144,0.24520255545356742
145,0.32859213556033534
146,0.5765791451499088
147,0.4202609707174407
148,0.1687812026959672
149,0.4128044441072569
150,0.2183810780226276
151,0.20928020348470253
152,0.9788841752951142
153,0.1547994759926485
154,0.3223692755063449
155,1.0
156,0.7234610714468359
157,0.9327362841094297
158,0.1616612764283837
159,0.2376237010823689
160,0.5782948473929101
161,0.42419879753571677
162,0.17672005966921434
163,0.15413728866917034
164,0.5222793383168349
165,0.3108361741367504
166,0.2304483998849429
167,0.12083570881847192
168,0.2474699882213943
169,0.19669384909044257
170,0.520822452610005
171,0.25100554727184365
172,0.12888240839522083
173,0.5067677740109531
174,0.3605825312950227
175,0.3531141114385119
176,0.15896688074873358
177,0.6665895599970915
178,0.35058368244406884
179,0.2749939214875801
180,0.1708612298413733
181,0.247156742550604
182,0.6666327346799682
183,0.13458888090641521
184,0.5669574411337243
185,0.4791814706277518
186,0.48577969678545097
187,0.1887950356802796
188,0.0994746362714432
189,0.12308380543750243
190,0.8058443173171678
191,0.515500881402617
192,0.2079881543764084
193,0.27099435983506714
194,0.17272987768312664
195,0.13879873667525294
196,0.8044352329558331
197,0.10775860977709231
198,0.7491026645185268
199,1.0
200,0.2816370800933204
201,0.725684324508283
202,0.43225607672033844
203,0.12780233708103453
204,0.6218385309577359
205,0.16348714241239992
206,0.2570948494309319
207,0.44832416768411265
208,0.7345027423963356
209,0.1645146456199713
210,0.2944362323422016
211,0.1968854622515848
212,0.21469782182988595
213,0.2680491514933516
214,0.4791626979080453
215,0.17805475388202469
216,0.36303000394391227
217,0.3335769795326659
218,0.12920809176844417
219,0.8887437448990663
220,0.43308156449319585
221,0.13167998257562122
222,0.07409801284213388
223,0.5422077334827348
224,0.2113781353041668
225,0.18991862864410744
226,0.3595944055076297
227,0.9114271730867016
228,0.17566024831833155
229,0.11474599209347898
230,0.3655537768369463
231,0.09587075676248218
232,0.0641050287902476
233,0.2554018885641447
234,0.17539535531678357
235,0.12040824480186998
236,0.588626080636046
237,0.10898026027251556
238,1.0
239,0.7211443419691598
240,0.11959911896502007
241,0.13686269084721323
242,0.12338103464118527
243,0.1434879798492574
244,0.1411132289489416
245,0.10692352090274038
246,0.04799194646611054
247,0.1463747060396124
248,0.16997457912405234
249,0.13815569948257794
250,0.09802276025657657
251,0.0945267290305032
252,0.14209011660467863
253,0.40949147888043547
254,0.2432468966944325
255,0.2557278267201161
256,0.17401391135276187
257,0.12334241971976817
258,0.18275371701538817
259,0.10179706477301932
260,0.1118862795754277
261,0.13285178810616968
262,0.49961066332669274
263,0.05206913678047042
264,0.0515157427911303
265,0.318205576504686
266,0.127541453454922
267,0.01047580138196588
268,0.23231452448315593
269,0.4980186059831524
270,0.1586526558393499
271,0.004286749935118292
272,1.0
273,0.452853734328538
274,0.016560920616644468
275,0.1332127711621041
276,0.025735872627441578
277,0.13019716301916395
278,0.6054815332126445
279,0.8582944649238615
280,0.034405008033401324
281,0.39172287552750096
282,0.013257999562692578
283,0.01949963702751672
284,0.6451552569997986
285,0.1292414450554712
286,0.058864882921116274
287,0.35515413309493876
288,0.34162296256553054
289,0.22437449755123123
290,0.05515551588641602
291,0.14758282966864136
292,0.30209133328176396
293,0.246090062139836
294,0.011738968711516364
295,0.13923192800650686
296,0.10032286114182451
297,0.08310058124309473
298,0.07907471908999818
299,0.07890557060113176
300,0.008230817484377291
301,0.008955448632091648
302,0.0191211454558537
303,0.017970188108771816
304,0.1125318041015933
305,0.31623413673271195
306,0.05552152408728342
307,0.06741930049087855
308,0.17165042244428624
309,0.4265262646367363
310,0.5773942244893817
311,0.23038967648974842
312,0.3496147246520937
313,0.4432515975414014
314,0.17122683362139507
315,0.46097583035592743
316,1.0
317,0.44047299349441926
318,0.09855592571828602
319,0.26286724663883276
320,0.035135135636695645
321,0.12102633427174674
322,0.6864726247664703
323,0.37659659584088134
324,0.6990254877223769
325,0.6742122630762637
326,0.14043086984472822
327,0.06878463455955594
328,0.6936555530800539
329,0.2922930616254147
330,0.37850113565803306
331,0.5801637949074716
332,0.8473260760552803
333,0.9028553025170619
334,0.11927681818357175
335,0.42033094939471577
336,0.5483003327639723
337,0.0847716501670002
338,0.28379199586807546
339,0.2385187524925695
340,0.17118326420452395
341,0.14139617832136306
342,0.3704286588747045
343,0.4381228853274347
344,0.24970154744737824
345,0.2902729572569294
346,0.5879174450354084
347,0.23786723704893478
348,0.4674050956596248
349,0.09617612941575068
350,0.2881057975291474
351,0.2826633530631435
352,0.3181230314216738
353,0.35168069506855465
354,0.3311214176470694
355,0.5690025617925742
356,0.1747429209691011
357,0.4977508083094928
358,0.3499266214775246
359,0.5658074901044156
360,0.633821973592244
361,0.6356488779485262
