,EC_Multi_layer_full_right
356,0.6840230503509159
357,0.9918626319539391
358,0.6921391580115822
359,0.5391060715627691
360,0.2248927987136268
361,0.6076089085022125
362,0.8875841980132555
363,0.5239926192559711
364,0.6419357972223078
365,0.2695312760486955
366,0.4329500264789069
367,0.4452560544239685
368,0.5311244072713928
369,0.4545371742400391
370,0.34666961353454356
371,0.5250250812043596
372,0.5504355942283388
373,0.7495923173012472
374,0.3661114586851057
375,0.34912240622839913
376,0.6818472736386852
377,0.474404877392934
378,0.9214809756235555
379,0.4032138847975869
380,0.9402204341970016
381,0.4364844157226366
382,1.0
383,0.552298473743922
384,0.34760452370768935
385,0.4326232698145629
386,0.3711756096245337
387,0.3400608093575237
388,0.9273982780587487
389,0.45732096645091475
390,0.6476581381983214
391,0.42259762110402127
392,0.5069718733629457
393,0.6766598814064694
394,0.3866856502523556
395,0.4687058770532468
396,0.5048824933975743
397,0.4084814094020646
398,0.3397100100634112
399,0.6796417272589648
400,0.5218730771094936
401,0.5002810708531806
402,0.5940443282772642
403,0.37867151101816426
404,0.8079270998381785
405,0.7417439910287243
406,0.6944033847160035
407,0.37969368204643034
408,0.5110958384038753
409,0.448037927241737
410,0.5191938072928425
411,0.6688251084143834
412,0.5091513043864496
413,0.4023478035772548
414,0.3807649829754592
415,0.2161944220823313
416,0.7703813538758668
417,0.5064142537311579
418,0.5706366028629875
419,0.37399015843285416
420,0.6457001539610892
421,0.6586280802840497
422,0.6437739978655032
423,0.5627032861303443
424,0.6608049905224914
425,0.4441165736522349
426,0.4355855743560741
427,0.3137265391607409
428,0.5589437777931197
429,0.3198505346888607
430,0.38871819257132423
431,0.4681524816772161
432,0.4336895193076528
433,0.5005187307302131
434,1.0
435,0.4119022153139819
436,0.38766541701989743
437,0.2653986265850441
438,0.38021571184076725
439,0.3488378277843044
440,0.3349253248933419
441,0.2962050423830851
442,0.35716359140002707
443,0.857815715664178
444,0.31576745198718215
445,0.32428234691619934
446,0.3522856828230497
447,0.5402725880266315
448,0.6841847241739331
449,0.3548411025650351
450,0.7105917260373295
451,0.4649650091667373
452,0.4633356205118804
453,0.5705217788240692
454,0.7793813804289794
455,0.31546774886181067
456,0.28160768491513893
457,0.36204329204786334
458,0.4536181342003496
459,0.3409539609662079
460,0.2926582814107221
461,0.8773790076872714
462,0.24131238739940547
463,0.7971471615232292
464,0.2617206799582016
465,0.7731986926855422
466,0.3774524021075275
467,0.7211469796117795
468,0.6050671082876301
469,0.637277449500387
470,0.4404565858731799
471,0.34206529892094156
472,0.4980751866633704
473,0.43122980230338054
474,0.3682723582359546
475,0.6882963943245717
476,0.4370237260220074
477,0.3329827628019932
478,0.47283460813423406
479,0.8490662979966548
480,0.6694264427586964
481,0.9543636560260049
482,1.0
483,0.6795150652343761
484,0.42223243871848654
485,0.4673153574672546
486,0.4754561019369904
487,0.45144208491594734
488,0.6462773034993337
489,0.4070562633192413
490,0.5533348991368567
491,0.43455224824390787
492,0.46403095714210046
493,0.3738086761533381
494,0.4183890880132064
495,0.7673950381895934
496,0.43393884214498846
497,0.26695586434553803
498,0.5204734661854838
499,0.41076438929073167
500,0.8475330024734447
501,0.7344909929859749
502,0.48890304998767237
503,0.4104666128167788
504,0.36112646980470603
505,0.38325133699648584
506,0.504937442462043
507,0.3859003749099756
508,0.5942578743971618
509,0.47783662222537565
510,0.47705222815379983
511,0.5667806243780276
512,0.5619735051231348
513,0.8389480862412964
514,0.8133438612767317
515,0.9898896916711437
516,0.6109676891362154
517,0.7835347626762449
518,0.34524778529985156
519,0.5420834357498087
520,0.5125645593875787
521,1.0
522,0.8130457891569861
523,0.908558712258208
524,0.6678930866812025
525,0.9165054569010664
526,0.8583292366350003
527,0.8089428959844622
528,0.5279700072728788
529,0.5450611928296727
530,0.5221017268890921
531,0.8032417104925867
532,0.4992497868502831
533,0.43031417529721383
534,0.3229688699085054
535,0.5493408078738452
536,0.7129721240585557
537,0.21993219811958406
538,0.44704431209117435
539,0.5151523075389782
540,0.29216635748584574
541,0.4808532817218124
542,0.32933703392000413
543,0.4860962710856441
544,0.2929494996620341
545,0.44255322408069386
546,0.360233685434922
547,0.27593039491786087
548,0.3720022413271993
549,0.4190695084956126
550,0.32915776497943167
551,0.4042078979610029
552,0.5696915259235107
553,0.27734726954736666
554,0.8908644918727707
555,0.3053355801552299
556,0.459101321617997
557,0.3615947503223417
558,0.4064684451037663
559,0.5546477921208646
560,0.48102590135678586
561,0.4288280608883278
562,0.2959115477202651
563,0.24663877629696032
564,0.6321561191725306
565,0.4825432335434764
566,0.39673792028372157
567,0.4675685814661461
568,0.4326059287337681
569,0.6850035504458334
570,0.4050410328872277
571,1.0
572,0.2440801798951105
573,0.33920381061028404
574,0.36801959412374186
575,0.6193653802587024
576,0.1606984405525044
577,0.39628671244119684
578,0.34754988708438156
579,0.2465426336539373
580,0.3619123694267229
581,0.34987684745723263
582,0.32885082135193844
583,0.37559001919360746
584,0.4287198931082537
585,0.2949193583079664
586,0.5893505436398098
587,0.5939134247557989
588,0.4502356465097789
589,0.26946005169236886
590,0.3329641506654984
591,0.26735359456096036
592,0.3049878416473386
593,0.5265321468404309
594,0.36710653260147347
