,EC_Multi_layer_EEG_left
448,0.4149106881983537
449,0.6455457339738384
450,0.496486366937599
451,0.2590900487156006
452,0.40314855896480045
453,0.33369709554891663
454,0.5614636427244464
455,0.5245583300066123
456,0.3663874872321515
457,0.5077634325150946
458,0.30851139763092306
459,0.2563739369638071
460,0.3544353719697462
461,0.5060702614016284
462,0.2980678538997206
463,0.5502888360936855
464,0.38294302361951965
465,0.3938852514296871
466,0.6320434339093195
467,0.38723339785574107
468,0.5379761853707649
469,1.0
470,0.6781520849116348
471,0.48501509785638197
472,0.30602829331873027
473,0.21530247346071518
474,0.3217750489489903
475,0.3924289113278331
476,0.2934882999079959
477,0.6530425932968251
478,0.5282728942716766
479,0.6635260592604831
480,0.6557179516203355
481,0.6598826877084827
482,0.5005014207027245
483,0.32204933990090534
484,0.4947321012507166
485,0.5626322956833215
486,0.4397462634808888
487,0.3965087331555206
488,0.46661513725270976
489,0.7388462735874453
490,0.5392542860266897
491,0.3843349274177403
492,0.3904402291543076
493,0.5714471141834926
494,0.43650724377818007
495,0.6443923006227117
496,0.3342473826354565
497,0.7271398342327768
498,0.7860128133333969
499,0.3758203253615219
500,0.5140886347807424
501,0.43095920316631303
502,0.4186722415833286
503,0.5146846953131392
504,0.6472977921618306
505,1.0
506,0.7951843496397035
507,0.5345210770865452
508,0.6719768931718209
509,0.34659677770355374
510,0.3524549631027705
511,0.7307321907277272
512,0.44000444744120587
513,0.4826891876236526
514,0.41922833462665565
515,0.4174317113428055
516,0.7234687826450854
517,0.37654982403995246
518,0.21882923865309628
519,0.5139775508867809
520,0.8548536332396233
521,0.5333492221798365
522,0.6438360295012232
523,0.43074654838853077
524,0.6780106956481144
525,0.6052049385555628
526,0.4052099229075151
527,0.33620013972680785
528,0.30230154190250474
529,0.49590349893292196
530,0.5476004153298
531,0.42891592675500495
532,0.7414340147910252
533,0.49706368927386024
534,0.5129014379034222
535,0.5247343765590622
536,0.28783148896454197
537,0.4317331234065937
538,0.5872477549687631
539,0.4737834286650147
540,0.6745082345574747
541,0.443111016172567
542,0.6224305076117289
543,0.5750534310824664
544,0.5741382689792948
545,0.42886515407244047
546,0.453535636756696
547,0.4512177204871333
548,0.30889082032735404
549,0.40672757682210803
550,0.5754028655059381
551,0.7004844852126119
552,0.78460970212177
553,0.6011117006475539
554,0.7438411799657177
555,0.3817968444671001
556,0.5546690947217868
557,0.3090822221637198
558,0.4697505616112109
559,0.7309783002531228
560,0.3806800622517564
561,0.5560011411785577
562,0.5520575168648084
563,0.5825877396889384
564,0.45385360008182307
565,0.437500167560149
566,0.5468417546350153
567,0.39253582675902854
568,1.0
569,0.556438645456799
570,0.599911066348473
571,0.8258362255381965
572,0.8515622533430593
573,0.3860235073271005
574,0.35690248944771635
575,0.7295685230821668
576,0.43878656716419684
577,0.4088463725270357
578,0.4903719104904993
579,0.6386403320044515
580,0.6095792471608689
581,0.5375681819148678
582,0.4633487361101175
583,0.8353550964259807
584,0.6943420231391836
585,0.6094977773416288
586,0.5286995438726726
587,0.48745275558835505
588,0.8908898929298495
589,0.5968255545017016
590,0.32121720942530674
591,0.3765647767762968
592,0.7023249296738593
593,0.9289171144983319
594,0.4866178313888289
595,0.49232058535374323
596,0.41672599529945403
597,0.6403147995658577
598,1.0
599,0.4399396298295714
600,0.5540654049344157
601,0.5489710680958177
602,0.5943401735345977
603,0.4849238516646544
604,0.7746580305419289
605,0.31557491848140623
606,0.7338713761910869
607,0.44919438736663353
608,0.7130485648254848
609,0.6942487873322581
610,0.7429163840821384
611,0.6457291609880643
612,0.33825349665368426
613,0.7885892816514392
614,0.5500116260657038
615,0.7775336424994457
616,0.5958586433382197
617,0.5713685077608184
618,0.6707074007388965
619,0.8380688624894107
620,1.0
621,0.3186441376678263
622,0.4212128052879705
623,0.3414525409506963
624,0.640246730615395
625,0.40053002346417677
626,0.3942759142170038
627,0.3283185411605382
628,0.4356136840075578
629,0.6608352159580814
630,0.5527993491758254
631,0.7996836063504433
632,0.5099485436694295
633,0.4181608005902341
634,0.5252422602496583
635,0.4279780562370462
636,0.5839150106406363
637,0.45288444667174566
638,0.7743112165567684
639,0.34544997186305887
640,0.37122995338659287
641,0.22873093451224685
642,0.47336572310255176
643,0.37005474612116807
644,0.524299801430947
645,0.5919600950299294
646,0.4227096769075897
647,0.5864225237225308
648,0.39418585012880597
649,0.33505177787840656
650,0.4453799796215193
651,0.5051624985637521
652,0.5165598194136556
653,0.4934930646513158
654,0.6186745990205744
655,0.556250400323093
656,0.8370342200849787
657,0.6331820250570251
658,0.4619831550692399
659,0.3626587350377131
660,0.1851224857401867
661,0.22617610206702615
662,0.3715588005262354
663,0.5376135399881682
664,0.8077380231807791
665,0.42287917358611243
666,0.2275158400930312
667,0.25946058240652503
668,0.3121884227529417
669,0.37382894312983045
670,0.3385129120479576
671,0.5906365462435746
672,0.26484906205989506
673,0.46456888766047144
674,0.44146427557642043
675,0.2522593256462891
676,0.35079479951939624
677,0.4959073203291589
678,0.19973175884144176
679,0.245086934271795
680,0.34463037545406205
681,0.38759447857217405
682,0.2737459960803674
683,0.439071947975564
684,0.33197340563991773
685,0.28364049744947833
686,0.4328524366335583
687,1.0
688,0.4642783991302991
689,0.44310651127209755
690,0.5375841007558394
691,0.2975525465641191
692,0.4433643997446909
693,0.33656306001024044
694,0.2814541826253394
695,0.38239217669203873
696,0.5177884343762433
697,0.40217645493130255
698,0.6352765523873531
699,0.5158692517872815
700,0.2759564202840241
701,0.37947258591109106
702,0.353862969640666
703,0.49927298063090525
704,0.41034115342009936
705,0.37228439674840275
706,0.42687653635063977
707,0.4419812133950453
708,0.39762960323249746
709,0.5372118598182264
710,0.6127948689030079
711,0.8223446210635296
712,0.375404710932544
713,0.6515726802693448
714,0.8146463846574508
715,0.25968460662239873
716,0.32657035870858364
717,0.4737311413892309
718,0.6184269922683505
719,0.5033686827878973
720,0.5778747713685937
721,0.5792808869927972
722,0.4186449230318386
723,0.4234261878366487
724,0.977672319942927
725,0.5415445983418924
726,0.45215802045558745
727,0.5885742209264406
728,0.4390794959424462
729,0.5216996574210676
730,1.0
731,0.3482206492457316
732,0.7092734299618343
733,0.525005128031695
734,0.33862523633045255
735,0.29293431487532867
736,0.23111908143061494
737,0.42647752728271304
738,0.31548514749976614
739,0.3574551485843429
740,0.4359301387153522
741,0.4577377564627157
742,0.35244351543209795
743,0.3867890701032331
744,0.3792537943110528
745,0.5465463496900058
746,0.3265978209903108
747,0.4063036031406036
748,0.6181641781075647
749,0.5478090641886415
750,0.6552929748488638
751,0.39939000715491246
752,0.5704617173754137
753,0.2932541687531145
754,0.47416466514887806
755,0.7996652165744894
756,0.540722868621111
757,0.40237408048947454
758,0.9455943389667787
759,1.0
760,0.44232345402689627
761,0.5956816380707044
762,0.4809656798553494
763,0.3218196645748524
764,0.3673681800164164
765,0.2905142501954005
766,0.6951353315122295
767,0.38722764996938774
768,0.8267477889355012
769,0.4579548408178606
770,0.41906382654480123
771,0.6728334058139449
772,0.5288337400201981
773,0.30429927821991837
774,0.6849713231691764
775,0.3134371656590197
776,0.6353259795683444
777,0.38067744661034636
778,0.5079665559066627
779,0.26369901858503253
780,0.40006027574193226
781,0.6523842920558496
782,0.37694046552041394
783,0.35445307400653525
784,0.6787291253005063
785,0.7175218357462307
786,0.3980184422560692
787,0.5246546146581512
788,0.6673079483720424
789,0.5660581276369264
790,0.7763637267461602
791,0.6505742168672451
792,0.4246112687763006
793,0.38900362589617177
794,0.3950463459350844
795,1.0
796,0.3968729077067457
797,0.42451310058424224
798,0.3369681967771288
799,0.7042512660704973
800,0.40146981023673256
801,0.6503251231782248
802,0.43726298107336736
803,0.43619242682238435
804,0.373582338418762
805,0.5750472251979659
806,0.6893002852835745
807,0.4988722573907035
808,0.4943045674223698
809,0.3630369113384096
810,0.45778986359399976
811,0.4857776445277997
812,0.7416983468947219
813,0.7705088302843471
814,0.6875207630081935
