,EC_Multi_layer_right_hbo
115,0.0011054283575227155
116,0.0026419961412371337
117,0.41076336269468616
118,0.12163115583280208
119,0.004796332387399938
120,1.0
121,0.6290258998022492
122,6.058817561072655e-05
123,0.3160212394191342
124,0.013556864509902709
125,0.08013353496186736
126,0.00044336990825364134
127,2.8959663065489164e-05
128,0.0390751373333904
129,0.006665692682486711
130,0.49621235190032426
131,0.25447153209651274
132,0.0005245413369681726
133,0.13026555641792623
134,0.007916814551200954
135,0.0032087954125498454
136,0.21374487264285627
137,0.4984950491943069
138,0.4076470532291143
139,0.013581459652599156
140,0.33386469622034715
141,0.09707794244631736
142,0.36139261095015224
143,0.004882107732042962
144,0.5215115707274331
145,0.2236139043849587
146,0.09707794244631733
147,0.7143945779303847
148,0.4061751258843784
149,0.7172650032901438
150,0.0023285127614631426
151,0.0009984204746880743
152,0.22640484001839958
153,0.4287803318976216
154,0.9545726442378073
155,0.5522332442957447
156,0.23678675377403002
157,0.9488435487713291
158,0.001685808613131908
159,0.0737896641919635
160,0.23001521380096884
161,0.9507130409294208
162,0.32132702065749313
163,0.2622502211280447
164,0.8169490284457913
165,0.40930197521667705
166,0.13777870656519398
167,0.04182644198460764
168,0.0012233334832470737
169,0.9926535685642257
170,0.6116190543708542
171,0.003469220135690049
172,0.023757818453752293
173,1.0
174,0.8428385913849262
175,0.000722841576654512
176,0.10276567410759657
177,0.8737848631214268
178,0.4269133944259788
179,0.033546637982910375
180,0.12595679929831807
181,0.23299888909525818
182,0.2510393699617211
183,0.1652618045700513
184,0.6704730724392122
185,0.5980031913606632
186,0.016083928116904653
187,0.03833437839184715
188,0.014358503243583539
189,0.03422200674358772
190,0.41956929502019286
191,0.21142175601771884
192,0.18015128361066274
193,0.3915730396283815
194,0.010415311941438075
195,0.004369945088684469
196,0.419569295020193
197,0.009114500191108564
198,0.2509037774190192
199,1.0
200,0.715962507867204
201,0.503901878729099
202,0.020453873205589154
203,0.2186403858516744
204,0.40572429616388533
205,0.0672061087281789
206,0.10524205083947738
207,0.09234301768660197
208,0.3015413931402134
209,0.09173479255472967
210,0.05823147232598629
211,0.021955761059920934
212,0.009114500191108555
213,0.052329284627142175
214,0.19260206599195107
215,0.12651750973924641
216,0.42937194344021806
217,0.36661329901917283
218,0.021723468088077468
219,0.0548282229477093
220,0.026809540669400174
221,0.03162605941198767
222,0.4517989043386497
223,0.05007299972692779
224,0.0812518098397712
225,0.09849488772317246
226,0.2417433274876908
227,0.010809324549256134
228,1.0
229,0.6018675919679137
230,0.0015205410246037251
231,0.017947083563526898
232,0.09139247616541576
233,0.20713291343885087
234,0.6754274345879574
235,0.5307961684889104
236,0.008034056238839734
237,0.14197808729101136
238,0.0034461709064477135
239,0.006289898630939924
240,0.44122623801357547
241,0.014390447513737987
242,0.26456984017147206
243,0.3640793319036385
244,0.22328581129011407
245,0.5275748412480941
246,0.11348599746098313
247,0.021872971381595635
248,0.5478897369658531
249,0.049804677604941824
250,0.024667100798909523
251,0.43212539337450356
252,0.018802496252254927
253,0.01820847344665985
254,0.011829072772431408
255,0.032614668562152185
256,0.23277986247450574
257,0.037103292374373986
258,0.03585043038739655
259,0.39249108300020935
260,0.1993455308999978
261,0.01182907277243137
262,0.02242450375257769
263,0.17317736400605624
264,0.000579104706648912
265,0.36537134451704506
266,0.13007251380494939
267,0.0022986619810852096
268,0.37392914594854854
269,0.5612442318489109
270,0.3177961251963069
271,0.028741798945059197
272,1.0
273,0.8926835820164181
274,0.20605770390313946
275,0.015261342509230964
276,0.043197386567952585
277,0.07679903876403789
278,0.36537134451704484
279,0.7676008104228184
280,0.03143349851629382
281,0.201234071238986
282,0.0014148817953336021
