,EC_Multi_layer_right_pli_theta
181,0.01707231172242259
182,0.308934594830955
183,0.0007074342849045176
184,0.03617515179109586
185,0.01683669933821655
186,0.03617515179109582
187,0.005921849432358651
188,0.016836699338216656
189,0.017123357840615257
190,0.1390787027203674
191,0.027637855464735475
192,0.308934594830955
193,0.17907071556834545
194,0.03617515179109592
195,0.005289997616635922
196,0.05449923582507617
197,0.0022899160428816213
198,0.308934594830955
199,0.01707231172242262
200,0.042966222674531415
201,0.3582323917676885
202,0.05532113896019599
203,0.308934594830955
204,0.008538289679994591
205,0.005289997616635896
206,0.005997431901540485
207,0.0002157966422167021
208,0.3089345948309549
209,0.002045260797252479
210,0.3089345948309549
211,0.04929779693673366
212,0.40722195646568216
213,0.30893459483095503
214,0.0007074342849045037
215,0.008538289679994506
216,0.11709647412874037
217,1.0
218,0.0006985188639519993
219,0.055261896880679194
220,0.015114056445968999
221,0.004096641663606496
222,0.07095847285717442
223,0.0017541427112110733
224,0.0020022976284124576
225,0.35204414527147887
226,0.5108076750033628
227,0.35204414527147876
228,0.06400659658253065
229,0.35204414527147876
230,0.06400659658253062
231,0.32443282777562676
232,0.1818141203091789
233,0.18181412030917987
234,0.002425230905226573
235,0.004982735076757224
236,0.02319364128052106
237,0.02076481347658417
238,0.0007048971571734323
239,0.004096641663606537
240,0.0017541427112110798
241,0.16394983124851095
242,0.9215685934087625
243,1.0
244,0.0017541427112110666
245,0.271149345431601
246,0.3520441452714787
247,0.03761146102196526
248,0.006888996558532414
249,0.002425230905226609
250,0.1818141203091788
251,0.05771757820928517
252,0.18181412030917982
253,0.17982685134466994
254,0.011636727150929274
255,0.004096641663606477
256,0.3244328277756269
257,0.0053208150831062645
258,0.09545653955338887
259,0.5164526175232201
260,0.1818141203091798
261,0.009735361917312363
262,0.4524460209406879
263,0.06588276382961938
264,0.0006691076262292568
265,0.0009662537781966119
266,0.3056024787259813
267,0.08599733361463661
268,0.28140260502188635
269,0.0018114904174337538
270,0.3056024787259813
271,0.00018828862906093344
272,0.3078794136725647
273,0.000610623881605112
274,0.2814026050218863
275,1.0
276,0.010269603632527042
277,0.0021699297401938824
278,0.3056024787259813
279,0.00181149041743385
280,0.2814026050218863
281,0.011114840271764253
282,0.002189470546898131
283,0.0264768086506783
284,0.0009662537781966314
285,0.03306063870164515
286,0.006437361933066987
287,0.09408871196703737
288,0.0018114904174337696
289,0.09610074675012367
290,0.30560247872598134
291,0.0005535959617560565
292,0.09408871196703764
293,0.0019672737632014
294,0.28140260502188635
295,5.797019271636012e-05
296,0.003433705875328802
297,0.0002060044636474226
298,0.30844560550191974
299,0.026476808650678463
300,0.00018660817178782135
301,0.0006631359072645828
302,0.08599733361463664
303,0.08599733361463673
304,0.0006740929082320367
305,0.3078794136725646
306,0.28140260502188624
307,0.08599733361463673
308,0.4417908227260334
309,0.3312269991300881
310,0.08632548577783693
311,0.002441308487467628
312,0.01834877634945503
313,0.007370499669046573
314,0.3312269991300881
315,0.33122699913008813
316,0.06209436708271831
317,0.14633304845475667
318,0.0531504958548364
319,0.19539900182890352
320,0.0009082753795692695
321,0.1874677101981385
322,0.04687746029586896
323,0.1231779120515048
324,0.1076508315508644
325,0.0013768610142957801
326,0.062094367082718344
327,0.33122699913008813
328,0.05315049585483638
329,0.16046546928368524
330,0.00045605354198437014
331,0.33122699913008785
332,0.5899247414675917
333,1.0
334,0.3312269991300881
335,0.0012258037681416917
336,0.003700796648102688
337,0.008518918615406714
338,0.002441308487467625
339,0.2606233368794098
340,0.1105918404721583
341,0.036631003447866434
342,0.0012258037681417298
343,0.001225803768141709
344,0.05315049585483644
345,0.32500620974012123
346,0.0012258037681417075
347,0.002742153815826159
348,0.0012258037681417103
349,0.00244130848746765
350,0.0036671122556093203
351,0.036631003447866455
352,0.3737981804021511
353,0.23424914999102303
354,0.08104038580505432
355,0.007343272542114552
356,0.5012439742790631
357,0.012787207151191228
358,0.26626615531899434
359,0.11552750002060536
360,0.07369711326293865
361,0.37379818040215135
362,0.001293913914229514
363,0.020356406342759505
364,0.6256184613892204
365,0.04691715870274364
366,0.24588866899491685
367,0.09517109367784592
368,0.41824883580351063
369,0.6052175033257118
370,0.1904074481935882
371,0.3294202436688689
372,1.0
373,0.09985845538407061
374,0.387049529638201
375,0.21934899661625054
376,0.7283175823164451
377,0.2579991648030526
378,0.5667207419714174
379,0.16188301516947454
380,0.37379818040215107
381,0.09517109367784594
382,0.23856893175101967
383,0.015629417334622073
384,0.34584563645480293
385,0.012787207151191166
386,0.373798180402151
387,0.9657631692552723
388,0.05259380204334127
389,0.6163783016970065
390,0.044153850358735806
391,0.21934899661625054
392,0.12121745438264683
393,0.03303765066745857
394,0.16522603412480108
395,0.003343018955325047
396,0.11358449109786918
397,0.7096494466924101
398,0.3089363633699357
399,0.2256012587978315
400,0.2656462538378091
401,0.3743344760937303
402,0.007336684206013545
403,0.14109698684002892
404,0.3743344760937301
405,0.47189785409947366
406,0.4698330554597862
407,0.37692757640816316
408,1.0
409,0.1135844910978694
410,0.2540782169110714
411,0.44721296803893645
412,0.03462740280266067
413,0.00427550768762474
414,0.11358449109786944
415,0.21847517646666467
416,0.019599274644894023
417,0.19468816419398696
418,0.012962230686620585
419,0.0022236550354299838
420,0.07954167962376711
421,0.011421624137431434
422,0.0008323907427008971
423,0.5836362676142078
424,0.09511023621423516
425,0.5509821120778122
426,0.07287849194520614
427,0.141096986840029
428,0.045020968899885994
429,0.141096986840029
430,0.021128408493995714
431,0.13283988333023453
432,0.1758747106670555
433,0.5502091867607856
434,0.37433447609373016
435,0.26564625383780893
436,0.30343048356953656
437,0.04972654813077582
438,0.005107898430325483
439,0.1156455317283871
440,0.3322088755939234
441,0.3322088755939234
442,0.015721234406849055
443,0.04210060891154265
444,0.009938345327228848
445,0.42630531928084164
446,0.13763322432555677
447,0.03514404592271157
448,0.12672933206939513
449,0.3322088755939235
450,0.21300909403338145
451,0.141622410777997
452,0.007970950993485063
453,0.15047818838416988
454,0.011675163979805244
455,0.14162241077799692
456,0.1376332243255567
457,0.02661434713213321
458,0.02134577233220254
459,0.3322088755939234
460,0.3322088755939232
461,0.10578900355952571
462,0.0351440459227116
463,0.17973383323709924
464,0.06133342577223597
465,0.0473233425167904
