,EC_Multi_layer_left_pli_alpha
175,0.28362016503183984
176,0.3272094663788946
177,0.08985517554406451
178,0.09928991953661416
179,0.05133971952701712
180,0.015054412459416926
181,0.03397817103660481
182,0.11587498188739362
183,0.001209278732390315
184,0.2932312953422898
185,0.033978171036604825
186,0.2932312953422898
187,0.10490958800348152
188,0.03217509229885019
189,0.10384226169440809
190,0.016470633139232776
191,0.2932312953422898
192,0.3541308971581384
193,0.005383826116016846
194,0.2932312953422898
195,0.09830816287499068
196,0.02028770177259767
197,0.0003545983691287066
198,0.0059489890702968005
199,0.01043606404672818
200,0.0017272206716216936
201,0.005890301270898336
202,1.0
203,0.08985517554406451
204,0.2932312953422898
205,0.2932312953422898
206,0.0003545983691286893
207,0.005948989070296772
208,0.0059489890702967615
209,0.08985517554406454
210,0.028827029942554233
211,0.30643105620488525
212,0.004829705090524844
213,0.1038422616944081
214,0.0034147789478258554
215,0.018360339436935866
216,0.29323129534228976
217,0.3830864708863544
218,0.2932312953422898
219,0.08985517554406458
220,0.18195155748616393
221,0.5884747155253345
222,0.18195155748616396
223,0.23502686230813546
224,0.03644480852080199
225,0.3222136626343591
226,0.16182423634741172
227,0.005284911302903403
228,0.02743579928912567
229,0.08514784588839436
230,0.18195155748616396
231,0.01705507214246976
232,0.03559770689669535
233,0.05293094030535719
234,0.07572886612176553
235,0.36443297096507826
236,0.3222136626343592
237,0.023840916129867117
238,0.02743579928912572
239,0.32221366263435913
240,0.07572886612176555
241,0.50222648854914
242,0.014699013947042679
243,0.2616571088746285
244,0.3222136626343592
245,0.20579247361603123
246,0.04561884132058861
247,0.07399101557316971
248,0.04221930833071926
249,0.35954189321433555
250,0.01640188457464874
251,0.5646922479902341
252,0.01705507214246971
253,1.0
254,0.07572886612176546
255,0.06541920745187296
256,0.13102892033050964
257,0.11584931028308315
258,0.11047857687242277
259,0.01705507214246971
260,0.1618242363474117
261,0.20303051992586896
262,0.20938735677528966
263,0.11310758278477703
264,0.020270607380957543
265,0.13233205595685016
266,0.33153195172222083
267,0.06299003153389651
268,0.19790795451818538
269,0.0011535414176485597
270,0.04498740495236669
271,0.008252325220740769
272,0.01738063612780828
273,0.06930753260785759
274,0.5545943823602903
275,0.0854014619947474
276,0.15383581091869544
277,0.04963048048098353
278,0.15383581091869555
279,0.15780914112213568
280,0.015754627161247127
281,0.2213681500640039
282,0.08668816873566582
283,0.9466909000209885
284,0.06930753260785756
285,0.22711667372999325
286,0.0032939424306233003
287,0.4506246745279863
288,0.17986830329747105
289,0.2213681500640037
290,0.3502008435011582
291,1.0
292,0.19421942050357754
293,0.35020084350115827
294,0.3778747493405525
295,0.5080099846232938
296,0.4392788132110449
297,0.21395657439405244
298,0.3502008435011582
299,0.07752331287670508
300,0.02990766402679279
301,0.039470121231451744
302,0.07752331287670515
303,0.03947012123145181
304,0.11270709926579957
305,0.07492777282541532
306,0.01738063612780825
307,0.35020084350115827
308,0.2284138104521668
309,0.003428311060645083
310,0.04506823135479366
311,0.11618038231060426
312,0.0005374277344765865
313,0.11298222938867156
314,0.10892481106178674
315,0.04506823135479364
316,0.26951064490157267
317,0.3637460038784338
318,0.1849983079908056
319,0.2504866029708786
320,0.21939727688535857
321,0.16579740686914643
322,0.21939727688535857
323,0.0014774807935932954
324,0.6031606520650121
325,0.12390027897009083
326,1.0
327,0.006734271339046018
328,0.0775536019275481
329,0.19107933435935956
330,0.6279486455293237
331,0.041096834449405775
332,0.0012470344483618825
333,0.31939974892324136
334,0.4558054386889071
335,0.508592001061909
336,0.2193972768853585
337,0.025692033304876297
338,0.012320081709515256
339,0.002449564288610969
340,0.0024495642886109576
341,0.002449564288610954
342,0.6457237930581844
343,0.11618038231060425
344,0.2284138104521668
345,0.06950434429696815
346,0.009345374446160489
347,0.008177979226264849
348,0.21320812077833004
349,0.000537427734476633
350,0.04896633919309896
351,0.0029869920230876255
352,0.06510148594315097
353,0.11873031363591932
354,0.14681357987447213
355,0.21615438071282145
356,1.0
357,0.5091558419087956
358,0.3852501433711497
359,0.3852501433711504
360,0.1468135798744722
361,0.06510148594315103
362,0.011164634256963584
363,0.13120335310222483
364,0.34056665613184034
365,0.04111357316692337
366,0.3216240166801834
367,0.15101733365421546
368,0.48738023600631253
369,0.13120335310222495
370,0.1468135798744721
371,0.07361497464761385
372,0.04111357316692365
373,0.4310861830749438
374,0.008470514933995943
375,0.19115637062821791
376,0.44342959281296596
377,0.05160022015343277
378,0.3852501433711503
379,0.10953441589246096
380,0.019102277049806535
381,0.024871826943378025
382,0.13120335310222433
383,0.01116463425696355
384,0.04043558589646921
385,0.011164634256963547
386,0.05608968672027577
387,0.011164634256963476
388,0.14681357987447216
389,0.109534415892461
390,0.04043558589646935
391,0.03278252305663696
392,0.17340150252887024
393,0.008470514933995985
394,0.15101733365421563
395,0.12072107596760187
396,0.03995818545985134
397,0.07894052641939628
398,0.8635431458577447
399,0.09859366238368313
400,0.04380475228310762
401,0.004941594407648374
402,0.15961029161149048
403,1.0
404,0.0728312906838339
405,0.44550439994650787
406,0.014315768002019025
407,0.11173284282642111
408,0.023674204454086575
409,0.35826872109603136
410,0.008481726952731663
411,0.3118688187029085
412,0.22033887350784626
413,0.17719359545915764
414,0.11173284282642118
415,0.09056514996388432
416,0.009890111586289035
417,0.13225149656954432
418,0.03244666045343124
419,0.03849594430137962
420,0.35826872109603136
421,0.20328676882822816
422,0.4945829346114253
423,0.26141836735896967
424,0.3582687210960315
425,0.35826872109603125
