,EC_Multi_layer_left_pli_delta
258,0.039028351190575315
259,0.05648409795704131
260,0.2804395353828261
261,0.009794385484704602
262,0.3715097173529846
263,0.05648409795704137
264,0.17704180304447997
265,0.25354754260460566
266,0.1639868789557912
267,0.28419274767168695
268,0.0690878212251164
269,0.014607138843070999
270,1.0
271,0.1109018175762888
272,0.34404392504109954
273,0.09078970540561146
274,0.0015336040748897075
275,0.20081104823130677
276,0.0005276271653842599
277,0.042457191596468366
278,0.17704180304447986
279,0.07618256656254051
280,0.22143267477674428
281,0.003402327865186312
282,0.0765057395601258
283,0.34404392504109993
284,0.07650573956012584
285,0.09777478837718216
286,0.22237201122207428
287,0.03815509661313846
288,0.003929955030570611
289,0.018009466708257413
290,0.08677723279241796
291,0.13425781243797572
292,0.3440439250410997
293,0.39023450979969276
294,0.17554091317540502
295,0.0765057395601259
296,0.6173596265936868
297,0.07650573956012605
298,0.1755409131754051
299,0.0034023278651863576
300,0.4766451810948305
301,0.3902345097996927
302,0.009889225234189615
303,0.17704180304447978
304,0.13425781243797572
305,0.5145906965900645
306,0.5102282016880103
307,0.029855179774108728
308,0.2804231296560595
309,0.06833053947897
310,0.3677616235809115
311,0.02528768968097847
312,0.4571033610212802
313,0.07300048413139193
314,0.0181601360597127
315,0.27253027692446347
316,0.41657024780475044
317,0.018160136059712707
318,0.3661565645274259
319,0.21434383795798992
320,0.15252993082052602
321,0.1831415262242046
322,0.13726335086729463
323,0.15137487953257672
324,0.41657024780475027
325,0.16008027177192063
326,0.14483188400670458
327,0.060704502576071996
328,0.4396413982739461
329,0.06033265381070181
330,0.695172954627622
331,0.2693458634315344
332,0.05717982808529937
333,0.043594414520511805
334,0.2151486358657327
335,0.10990986835266336
336,1.0
337,0.28958836997638865
338,0.057179828085299374
339,0.07893239088761923
340,0.8722420509534184
341,0.09550554110421698
342,0.18948158516739624
343,0.12043683792504625
344,0.6542240555120027
345,0.3633837998039821
346,0.4257288275926411
347,0.039784766924510585
348,0.3792128905338307
349,0.2638447391091139
350,0.030409829764480843
351,0.0892892656935813
352,0.08176299349504079
353,0.01083652465630864
354,0.1325358110447111
355,0.21272599798599728
356,0.034421391874772146
357,0.2790239633656518
358,0.033479653944391084
359,1.0
360,0.0817629934950408
361,0.3236749302817722
362,0.24164859755710025
363,0.005498792303669286
364,0.23762040962262568
365,0.09259951815134947
