,EC_Multi_layer_left_pli_theta
192,0.03946582021448163
193,0.1967691178346258
194,0.5236461489416873
195,0.006835185761685474
196,0.04614162266985744
197,0.2581925200911715
198,0.49768665673181184
199,0.3757673349308598
200,0.324454284519927
201,0.12191932180095177
202,0.08655755645206002
203,0.21034590422749647
204,0.2157412956630536
205,0.04595466966129426
206,0.19408032852577467
207,0.48073586094586357
208,0.37576733493085995
209,0.5495556091955841
210,0.12191932180095184
211,0.21574129566305356
212,0.018189941291579092
213,1.0
214,0.12279306469879143
215,0.18064483327331926
216,0.006835185761685515
217,0.33381431353253066
218,0.001344953472562644
219,0.07904111984518807
220,0.058893287172325184
221,0.009846995401627345
222,0.048329277784923366
223,0.00430645800648936
224,0.010202559307485391
225,1.0
226,0.34121214740692307
227,0.00374165775839733
228,0.003444687529608979
229,0.15110275711366616
230,0.022024883611206268
231,0.06888976753170724
232,0.19998436085850557
233,0.001453988332207467
234,0.13002547554445165
235,0.023328813246117457
236,0.043900468562903264
237,0.029165070480877804
238,0.3886465339945153
239,0.3756346388875261
240,0.15439038765234614
241,0.33762974816342856
242,0.11520337139930213
243,0.022024883611206348
244,0.33762974816342867
245,0.1431428304164999
246,0.2916634299329279
247,0.33762974816342867
248,0.003444687529608872
249,0.011300983733834747
250,0.0675206693932813
251,0.029081673166544267
252,0.25841559357089544
253,0.01108213295407305
254,0.45727720525862586
255,0.009818837987391492
256,0.06888976753170724
257,0.765381590267367
258,0.06752066939328143
259,0.09091465114291349
260,0.3376297481634285
261,0.06523383597272747
262,0.09847425039673624
263,0.2040393890243384
264,0.23501815207010382
265,0.3666460562511609
266,0.3666460562511611
267,0.00584051268173829
268,0.16201316170080068
269,0.004566570645123285
270,0.10201161354742287
271,0.0006200206219809863
272,0.0020358659946492345
273,0.017087137803541493
274,0.002141400941244123
275,0.0007163142697353136
276,0.005552673920635577
277,0.0007163142697354973
278,0.10201161354742283
279,0.0016910603875598556
280,0.08616847860393932
281,0.13481109971531974
282,0.278229130814767
283,0.366646056251161
284,0.07419161210572775
285,0.00026263380203480176
286,0.10964929416998383
287,0.0006200206219811714
288,0.0021414009412440496
289,0.7060156630943045
290,0.04033897284637917
291,0.0016910603875599942
292,0.001953694189594837
293,0.0016910603875599658
294,0.2588578585250752
295,0.2990603398032231
296,0.0016910603875598042
297,0.0026558866166305024
298,0.006264931688288596
299,0.5548261484025232
300,0.010780668557406003
301,0.01874281491767132
302,0.006094090551567913
303,0.36664605625116103
304,0.004612242130328518
305,0.001674315117626762
306,1.0
307,0.36768730337295935
308,0.15071799441306155
309,0.17441356870365127
310,0.15071799441306172
311,0.19510006448238512
312,0.00405405516705802
313,0.012202406838379745
314,0.00024573431836152324
315,0.03544740717819947
316,0.444010124417396
317,1.0
318,0.2013289813972433
319,0.0018761588693147384
320,0.03106599583841754
321,0.15109984547715247
322,0.0047910373795278125
323,0.0013796241923584255
