,EC_Multi_layer_left_pli_beta
223,0.08023105292380726
224,0.04851305671163168
225,0.1778749820545006
226,0.08255112811401019
227,0.048513056711631676
228,0.20792841892325237
229,0.1778749820545006
230,0.7117497241449864
231,0.04851305671163174
232,0.04505442857450456
233,0.05976647184885596
234,0.048513056711631676
235,0.21838644071922114
236,0.23487586665653606
237,0.17787498205450056
238,0.1883530220110217
239,0.13301415644722323
240,0.2690448292920635
241,0.14683822403902203
242,0.0720670522093725
243,0.018338169469747936
244,0.18835302201102175
245,0.306830383364834
246,0.26148340344902965
247,0.1581103415496742
248,0.613866918736865
249,1.0
250,0.5797176280388113
251,0.4335103811706417
252,0.07955693018547604
253,0.3068303833648341
254,0.30683038336483404
255,0.17787498205450067
256,0.17787498205450056
257,0.06379875649066534
258,0.3068303833648342
259,0.21838644071922106
260,0.06379875649066528
261,0.01833816946974788
262,0.0825511281140102
263,0.30683038336483415
264,0.05873941166463691
265,0.3220087080916455
266,0.06482658723026884
267,0.018459834360608513
268,0.15956990942187715
269,0.006259652132071463
270,1.0
271,0.00012769456318329167
272,0.04980896807518753
273,0.0003965562420350674
274,0.007299468255151414
275,0.3220087080916457
276,0.05602238784939527
277,0.018039696735592723
278,0.0008444384997071841
279,0.0001276945631832885
280,0.15468205307358193
281,0.056022387849395075
282,0.3718176761668332
283,0.020874725604009294
284,0.4282445443502427
285,0.3220087080916455
286,0.3220087080916456
287,0.009963561362250578
288,0.02773354684218017
289,0.005610591255737101
290,0.05732712779728507
291,0.007206226151331176
292,0.1559381692091097
293,0.0009761186933607886
294,0.3733916084748852
295,0.01742372524329491
296,0.002320467573206203
297,0.0026224088929509004
298,0.17397786594470302
299,0.0020156624961514763
300,0.056022387849395276
301,0.32200870809164567
302,0.020874725604009214
303,0.0008444384997070449
304,0.32200870809164567
305,0.0032083535222502697
306,0.002622408892950797
307,0.0026347862925993337
308,0.08341623886383238
309,0.23028945299785294
310,0.034265975100704636
311,0.16371127678447217
312,0.03032564227123379
313,0.048213985610878266
314,0.7083247170801106
315,0.11819553066951545
316,0.4641754965867659
317,0.02061829277703131
318,0.17114001527783412
319,1.0
320,0.25657181874352625
321,0.008500408757768843
322,0.048213985610878266
323,0.002763639946314799
324,0.23028945299785294
325,0.03426597510070463
326,0.32511847666020083
327,0.04821398561087823
328,0.06804968994704041
329,0.22137727823223757
330,0.23028945299785292
331,0.2575086371025268
332,0.07197384346604642
333,0.02022798492455252
334,0.10539534834409892
335,0.060856699996194634
336,0.1482966643611256
337,0.05491737354988074
338,0.09327566548279816
339,0.16371127678447212
340,0.02212421153278084
341,0.03426597510070469
342,0.36354602753951754
343,0.06085669999619465
344,0.06221727270730879
345,0.0837208158216178
346,0.0027636399463148394
347,0.2302894529978532
348,0.5035434419667753
349,0.38597517665639536
350,0.18718314819061913
351,0.3251184766602008
352,0.34058945282281317
353,0.026737352087159435
354,0.00508074348619364
355,0.20897936072273743
356,0.1538695083688922
357,0.0016201929296053006
358,0.01998240292679211
359,0.2865839383435799
360,0.38989028692273253
361,0.34058945282281305
362,0.03871832553018876
363,0.010726653046902014
364,0.24941136015984813
365,0.004757026138587726
366,0.6135814218282792
367,0.2613856923842136
368,0.110415833176654
369,0.1327925194839429
370,0.132792519483943
371,0.3405894528228129
372,0.34058945282281317
373,0.28658393834357987
374,0.013187053306542608
375,0.13279251948394305
376,0.20897936072273737
377,0.009106460117296869
378,0.13279251948394288
379,0.11060825351145707
380,0.05240633166147619
381,0.28708336470100243
382,0.05867005792803466
383,1.0
384,0.037672004541154124
385,0.28658393834358004
386,0.014917500950438279
387,0.0016201929296053652
388,0.019982402926792202
389,0.2865839383435799
390,0.019982402926792202
391,0.08557578789481089
392,0.32419040654819137
393,0.7322932583282329
394,0.05240633166147609
395,0.8414351529924533
396,0.00925065567967169
397,0.015653197590424776
398,0.00318069258276947
399,0.134072314959665
400,0.10946300951994503
401,0.45329729466787133
402,0.20003729471644982
403,0.06482753959769802
404,0.03527577917790381
405,0.008157024519199767
406,0.057418203931960135
407,0.10109870301734575
408,0.0455254122889177
409,0.023723708982919846
410,0.14422420980129663
411,0.10946300951994495
412,0.20003729471644968
413,0.05741820393196019
414,0.008157024519199734
415,0.008157024519199727
