,EC_Multi_layer_right_pli_delta
284,0.030255067296329492
285,0.038585863725857296
286,0.051156509691423664
287,0.010541341983718545
288,0.34841575067319347
289,0.36317918315778774
290,0.3484157506731931
291,0.0024957952581695876
292,0.39122370489992614
293,0.35263784117406916
294,0.007163267600122166
295,0.0056729547901169615
296,0.0007838094361339438
297,0.006391658670143049
298,0.10942065547301956
299,0.04912720570957591
300,0.018063744849536673
301,0.03261749279150182
302,0.16289185665089317
303,0.003310529294944746
304,0.3484157506731933
305,0.005672954790116976
306,0.10942065547301955
307,0.0269445380013848
308,0.26730636042398387
309,0.40805938742211484
310,0.3507974748254799
311,0.007902885972085959
312,0.2807913504876362
313,0.015558201384693687
314,0.5864516937104636
315,0.2717024402291419
316,0.2673063604239838
317,0.09531252993630372
318,0.13428098951381026
319,0.1403273992993597
320,0.7619962502779365
321,0.15671400410994715
322,0.26730636042398404
323,0.05726191259663516
324,0.3917615318608009
325,0.35079747482547985
326,0.2673063604239837
327,0.15671400410994712
328,0.11548461520500262
329,0.09850089670389904
330,0.3917615318608008
331,0.3356823562162773
332,0.8226311330243516
333,0.3507974748254798
334,0.044350950338036904
335,0.4000239721485219
336,0.007902885972085893
337,1.0
338,0.054974876911559306
339,0.13742895611053052
340,0.16323353702908697
341,0.054974876911559355
342,0.6393743990032457
343,0.1374289561105307
344,0.02252834338678646
345,0.26730636042398365
346,0.11087073132099741
347,0.04710543203851144
348,0.5683446636210434
349,0.3507974748254798
350,0.267306360423984
351,0.04841459736719295
352,0.296375665795411
353,0.5284803769705575
354,0.11926734085697714
355,0.0007934229535679091
356,0.03920208261509851
357,7.640435689369499e-05
358,0.0021841384475385747
359,0.04552475542803393
360,0.29637566579541114
361,0.3328080288142221
362,0.01349242970015691
363,0.00010759506711786055
364,1.0
365,0.005093564573641056
366,0.15662872358445876
367,0.4024194784578151
368,0.011618543335616596
369,0.15662872358445865
370,0.2963756657954111
371,0.296375665795411
372,0.03575862909843223
373,0.002419289703659668
374,0.0009993674996003695
375,0.0002961882080683153
376,0.12065305362524796
377,0.1192673408569771
378,0.03643236301881111
379,0.003075773848662365
380,3.1888559653327706e-05
381,0.1566287235844587
382,0.12292629666823057
