,EC_Multi_layer_right_pli_beta
176,0.08374751699375056
177,0.026048395500794314
178,0.08374751699375055
179,0.348404221299182
180,0.07476486766911522
181,0.10426432671456132
182,0.3484042212991818
183,0.11281503771903129
184,0.2451945546417376
185,0.28449979000907516
186,0.08893281126223136
187,0.7037645919656765
188,0.6427371592835319
189,0.29433293798435056
190,0.06300864902688856
191,0.7546877350690251
192,0.39653821085573293
193,0.117445068262786
194,0.08374751699375045
195,0.029647126860376904
196,0.06060714232588595
197,0.29926252421903704
198,0.040918357553525075
199,0.13815558656856203
200,0.24037457606414772
201,0.08893281126223133
202,0.021952479299326633
203,0.2451945546417379
204,0.24519455464173787
205,0.15889679052849667
206,0.31829670523178666
207,0.3484042212991817
208,0.04091835755352506
209,0.03930523536733733
210,0.2552575595399088
211,0.43733703256141315
212,0.010329184147547837
213,0.2943329379843504
214,1.0
215,0.17395639495952347
216,0.438687597303987
217,0.24519455464173776
218,0.8448030189955736
219,0.3484042212991818
220,0.32740112001260324
221,0.06400173223724527
222,0.06285251755192248
223,0.023470025948429504
224,0.4090131595908717
225,0.25308624402083785
226,0.23140394215186955
227,0.6103541314851518
228,0.3274011200126031
229,0.3902536375645255
230,0.026672333292651222
231,0.19548415788798112
232,0.327401120012603
233,0.08247908219523784
234,0.1364424287922892
235,0.32740112001260313
236,0.2238224935941872
237,1.0
238,0.4167439280202739
239,0.08146683582397216
240,0.191974045627892
241,0.034531701828120924
242,0.030385790738927502
243,0.09643618781174614
244,0.023048598316051463
245,0.13391136654994487
246,0.0732797350867505
247,0.026672333292651246
248,0.03157331589931137
249,0.031573315899311394
250,0.2519205865638549
251,0.10547215546114116
252,0.1364424287922892
253,0.08286071975220521
254,0.32740112001260313
255,0.0928090616725986
256,0.06285251755192249
257,0.08286071975220516
258,0.06400173223724526
259,0.08247908219523799
260,0.03453170182812091
261,0.0640017322372453
262,0.07039865445531836
263,0.07168584501948592
264,0.014420349651715018
265,0.38372400370042725
266,0.3753676527611766
267,0.02534098547414975
268,0.09627292287129455
269,0.16257861389691586
270,0.28357540476301984
271,0.14403757857715066
272,0.4236863274882354
273,0.30858658291489305
274,0.3394967308668696
275,0.16918110856939514
276,0.32646736571225404
277,0.32646736571225415
278,0.4357696537381641
279,0.5525206016144981
280,0.04247566571523167
281,0.2730195012005912
282,0.18757893798471797
283,0.3837240037004271
284,0.10476413608898424
285,0.8041888960269644
286,0.07197854109337028
287,0.02534098547414973
288,0.0746427967345806
289,0.273019501200591
290,0.05519490792686997
291,0.07464279673458063
292,0.14978614154047729
293,0.9616215298411078
294,0.4412005416311782
295,0.11069327252300983
296,0.07464279673457958
297,0.09627292287129452
298,0.1302730448114415
299,0.21986307951769693
300,0.04890028704892255
301,0.1497861415404772
302,0.21201541737848403
303,0.1438401230952457
304,0.07464279673458042
305,0.09627292287129459
306,0.13027304481144159
307,1.0
308,0.35370179163770893
309,0.327929641388939
310,0.3875205668827464
311,0.08003126525540234
312,0.219417291541247
313,0.1979604256459582
314,0.05901631463555582
315,0.07760828913443246
316,0.3537017916377087
317,0.2262676275538268
318,0.033030352238863074
319,0.013745115896549063
320,0.5596817158583292
321,0.41271810627326483
322,0.46499636019182705
323,0.05901631463555606
324,0.33272686051647204
325,0.09338474675495985
326,0.35370179163770876
327,0.32792964138893893
328,0.06404649106897116
329,0.08237844312881444
330,0.39971894592532553
331,0.02265335863920355
332,0.9271359352480514
333,0.07760828913443284
334,0.07760828913443268
335,0.13576811067884836
336,0.4127181062732648
337,0.9406988270426377
338,0.1668533098526268
339,0.029137402926986734
340,1.0
341,0.13706671880288826
342,0.02265335863920369
343,0.02913740292698676
344,0.04802142399437531
345,0.013745115896549018
346,0.23099077788482106
347,0.038860747164741534
348,0.18940273131969945
349,0.1370667188028882
350,0.1668533098526271
351,0.13706671880288843
352,0.03553902696188348
353,0.1549862422888968
354,0.04274866670677717
355,0.014505949229214436
356,0.13173967671648446
357,0.33108901417285297
358,0.049584726730214135
359,0.04214745627123068
360,0.17492386269333204
361,0.17492386269333207
362,0.0049817448834444215
363,0.1006869101008711
364,0.04824482494157628
365,0.012330185142241896
366,0.4139918823639749
367,0.045341029589652436
368,0.04534102958965246
369,0.29254873800434483
370,0.17492386269333204
371,0.5979306692163345
372,0.093595076666064
373,0.10068691010087116
374,0.2925487380043449
375,0.04274866670677713
376,0.04534102958965237
377,0.100686910100871
378,0.0049817448834444415
379,0.2925487380043449
380,0.01702876900932124
381,0.12148070507607388
382,0.038540276168507935
383,0.14788332485471006
384,0.29254873800434483
385,0.1461249397224961
386,0.03854027616850793
387,0.12111280272962395
388,1.0
389,0.3199298595664218
390,0.292548738004345
391,0.035539026961883505
392,0.3441714046955684
393,0.2925487380043449
394,0.04326308005813205
395,0.17492386269333188
396,0.4514745028921431
397,0.33144684170742966
398,0.14986045952594415
399,0.17627748433201776
400,0.006063942219194741
401,0.013739991686759982
402,0.9761024651159661
403,0.02406883597850569
404,0.3395615250987527
405,1.0
406,0.052086830277660916
407,0.0020590814680604653
408,0.06400968808537974
409,0.4494678566074971
410,0.43078839372082606
411,0.08756707365146074
412,0.14627916396668564
413,0.03439998160952519
414,0.3904483712873819
415,0.33144684170742966
416,0.0627092552386292
417,0.06270925523862918
418,0.15330337074525732
419,0.4035712131841324
420,0.15339438195335223
421,0.03497591590781016
422,0.11802101490006744
423,0.06765817646766385
424,0.18467715157184483
425,0.11802101490006749
426,0.052086830277660943
427,0.005241506830285221
428,0.38381632642447966
429,0.02297411358676049
430,0.005241506830285211
431,0.18850689301964962
432,0.3475688680151382
433,0.0708821058908423
434,0.3314468417074294
435,0.015436103453596061
436,0.05088684618862953
437,0.002059081468060461
438,0.14627916396668564
439,0.130329257158497
440,0.1118395866957761
441,0.3423079278223643
442,0.007804713487783011
443,0.022800270906472173
444,0.009828173232303533
445,0.22550575850195378
446,0.0033284727873569143
447,0.009723621677509542
448,0.47801195633822796
449,0.0024449166271341967
450,0.00291413102614327
451,0.3877414190423267
452,0.44708114043864455
453,0.03828357717034074
454,0.5815880053746262
455,0.055627406154203696
456,0.00332847278735692
457,0.007804713487783002
458,0.09027053729590127
459,0.16362728224845322
460,0.19908218496613017
461,0.274432026868194
462,0.003328472787356941
463,0.021955833156921793
464,0.00281908524664793
465,0.34230792782236424
466,0.15303941875201185
467,0.13272696168328188
468,0.008513185904521412
469,0.23281117998396547
470,0.028711497553757258
471,0.002819085246647944
472,0.07719240890481423
473,0.09394025844534297
474,0.126182723752036
475,0.34230792782236424
476,0.05099806018232429
477,0.043193346694541244
478,0.008235524267819021
479,1.0
480,0.01842064789344256
481,0.15303941875201188
482,0.007142448153882509
483,0.030900320565171384
484,0.005220754000258069
485,0.17215004543284831
486,0.02442214079368207
487,0.005220754000258102
488,0.2950656145061335
489,0.09926166013036511
490,0.37623740258548105
491,0.13303576727024724
492,0.33421245126905996
493,0.09926166013036508
494,0.036298413476261115
495,0.003512605015832698
496,0.33421245126905974
497,0.012131381745078856
498,0.16277496911116957
499,0.3342124512690598
500,0.06580982874552796
501,0.0314473508253478
502,0.33421245126905974
503,0.057534688670192305
504,0.05440142143188974
505,0.0625636049717844
506,0.33421245126905974
507,0.05659359163092862
508,0.04446220988584978
509,0.06580982874552796
510,0.12574322457719794
511,0.012131381745078825
512,0.015621063728876979
513,0.012131381745078917
514,0.0035126050158326887
515,0.4872521229795579
516,0.01051009620525741
517,0.297001681874663
518,0.010510096205257558
519,0.4575569686847803
520,0.010510096205257563
521,0.07307370117704183
522,0.1969101644646608
523,1.0
524,0.1628457264070515
525,0.09926166013036507
526,0.0244221407936819
527,0.09861460230930649
528,0.34438346309212786
529,0.07962162079276032
530,0.02585766533806325
531,0.029324653361836907
532,0.5081665498272797
533,0.011017905119723795
534,0.3683001309174983
535,0.941237099170582
536,0.1640229052219642
537,0.36830013091749814
538,0.007794319318636035
539,0.04722079977593624
540,0.004057895898030809
541,0.1049937087879958
542,0.0945921452854394
543,0.009523381529229462
544,0.3683001309174982
545,0.22199610632167474
546,0.7008009126491315
547,0.04722079977593629
548,0.2850764905416642
549,0.28507649054166406
550,0.24640729384953156
551,0.029631445634765625
552,0.12683647454265184
553,0.18881706775143844
554,0.44535119988514676
555,0.02932465336183696
556,0.049666848421886386
557,0.2581050678757768
558,0.03483829949239431
559,0.10499370878799595
560,0.02116295560150668
561,0.02932465336183692
562,0.2581050678757769
563,0.08045461607887161
564,1.0
565,0.346657746848931
566,0.07974760795690124
567,0.17405727431858817
568,0.08783365754835287
569,0.1282128237595283
570,0.21652886128016446
571,0.669039387077299
572,0.00468085812257125
573,0.08126859081220933
574,0.43416374064214175
575,0.07588664978397075
576,0.16219193115619965
577,0.09444970049838487
578,0.010497703977803488
579,0.23054127382311407
580,0.08486314191732522
581,0.02885999376912877
582,0.3735731844310916
583,0.5253948794946455
584,0.37357318443109155
585,1.0
586,0.35350037307960097
587,0.19627343821660426
588,0.02810079635076066
589,0.13205826006892574
590,0.08486314191732534
591,0.11273429322389857
592,0.37357318443109133
593,0.20313730467441676
594,0.04344493571281237
595,0.04211450891424039
596,0.012529962849714167
597,0.042114508914240505
598,0.03528387538374466
599,0.1320582600689257
600,0.08486314191732533
601,0.15742756998966462
602,0.4596972222359925
603,0.351586133640774
604,0.21754396246607333
605,0.1962734382166043
606,0.24740674128101423
