,EC_Multi_layer_left_hbo
96,0.4240446603907808
97,1.0
98,0.0015925278527655783
99,0.08677700452563848
100,0.03253682511001129
101,0.0003594087103390992
102,0.4240446603907808
103,0.5609460637603141
104,0.30903947827204176
105,0.896425668942808
106,0.001432931128793045
107,0.0011790439676600513
108,0.6137271800471922
109,0.0004999672988522644
110,0.1484104198669706
111,0.49599811310939074
112,0.3958164827976792
113,0.4473173167222732
114,0.002322635210134386
115,0.2732579975188824
116,0.1896825196564116
117,0.08677700452563952
118,0.022032011642336737
119,0.037030372499862206
120,0.07672971304491136
121,0.09216213796829033
122,0.03679732541380414
123,0.0004603291864477042
124,0.0006076267938723387
125,0.0008475727769046505
126,0.039714354659379475
127,0.07162405426067582
128,0.015702531730848325
129,0.2046411914388186
130,0.003884808444769955
131,0.006838683885806762
132,0.008567112856999222
133,0.007454333686385938
134,0.0026939910948389923
135,0.0013504619041101158
136,0.007202605016005708
137,0.008617581895977514
138,0.0003209245278304102
139,0.4013496544855501
140,0.02176295399876108
141,0.021762953998761072
142,0.17918631552287057
143,0.686068946043239
144,0.40134965448555016
145,0.5060981582033575
146,0.061198753774730524
147,0.14418430349377703
148,0.2376405634648275
149,0.09825796368634789
150,0.08982371668378811
151,0.04461783051264536
152,0.05422442440284832
153,0.0953769580383601
154,0.49672661252391004
155,0.03038053589473869
156,0.014500139179998515
157,0.021471506950775123
158,0.17664347953223547
159,0.039435799775969387
160,0.004073026644551802
161,0.2609906413201577
162,0.28471929155768905
163,0.021345758645240492
164,1.0
165,0.4401236616452482
166,0.0006708103669711437
167,0.0005172758397272654
168,0.08450857061017157
169,0.2105609651476955
170,0.7094046011392283
171,0.0013829791661211157
172,0.0012888408746491655
173,0.003445821245053262
174,0.35663565738133185
175,0.0001288029483607607
176,0.0019990687457065253
177,0.5827918806657924
178,0.20527474193459552
179,0.014068358910667243
180,0.08685236153928506
181,0.05087706244034952
182,0.365928418560921
183,0.000921673361383479
184,0.5499223941752743
185,0.42717473656026783
186,0.11461203565115628
187,0.00895603787575192
188,0.01017436337931497
189,0.014861764322107378
190,1.0
191,0.36429388441507116
192,0.02461646821755915
193,0.15244105098237973
194,0.0009216733613834357
195,0.002157602691594552
196,0.7810733967510829
197,0.12274765761500687
198,0.33365482249137757
199,0.494808637310828
200,0.11533991632219827
201,0.37725502242268943
202,0.13743360636500684
203,0.010515533325880101
204,0.3883311884673862
205,0.03224892907079686
206,0.03293349935426786
207,0.11235496162084198
208,0.16588527313169138
209,0.0022858467086004862
210,0.00215760269159427
211,0.00535108121563258
212,0.006111639828798488
213,0.004129193431367628
214,0.06302772504658574
215,0.05870816459349936
