,EC_Multi_layer_right_pli_alpha
385,0.14027390461594008
386,0.494908353782599
387,0.00995584729966549
388,0.15194324444004292
389,0.12820414831022434
390,0.11482518931810963
391,0.3523433300048876
392,0.0739620492853019
393,0.14944595038658579
394,0.3803840554351627
395,0.3749208296277393
396,0.31617363261019843
397,0.00032250860212961336
398,0.061365444369352456
399,0.1692536932510854
400,0.28964795008387867
401,0.2896479500838788
402,0.053412070046341735
403,0.05890832296106558
404,0.049023985294302616
405,0.007151584781352227
406,0.2896479500838787
407,0.008919970400693401
408,0.2896479500838787
409,0.3161736326101984
410,0.3161736326101983
411,0.0025836511413697286
412,0.04924900612523206
413,0.048520643703733074
414,0.01706267498855174
415,0.00032250860212956853
416,1.0
417,0.28964795008387867
418,0.16751592300129264
419,0.01940213546299703
420,0.004891426342608647
421,0.09157904455611734
422,0.0006549353013383444
423,0.02242946818070868
424,0.47641048858497387
425,0.0010114816017195933
426,0.1379913214170966
427,0.09157904455611739
428,0.17003057025250795
429,0.005619788764106681
430,0.016887488211782577
431,0.0002929735724857775
432,0.09157904455611741
433,0.01706267498855165
434,0.2896479500838788
435,0.0011134503180027003
436,0.002583651141369684
437,0.0022611425392400305
438,0.2896479500838787
439,0.0031991333159849798
440,0.025598563712147415
441,0.30480813073301677
442,0.04639860107330961
443,0.007336642900690311
444,0.4047472388357943
445,0.053540507029467554
446,0.09260082139108423
447,0.25905251432405135
448,0.021904130756249453
449,0.3048081307330167
450,0.3574596511163313
451,0.16695080397871614
452,0.3397501130488498
453,0.32069631144928973
454,0.3048081307330168
455,0.028533080446952144
456,0.029696741857295338
457,0.03354184445686693
458,0.19107551170955647
459,0.3048081307330169
460,0.32069631144928973
461,0.02287722882603373
462,0.08307718581538764
463,0.3206963114492897
464,0.1146359916049573
465,0.9504572389857843
466,0.1446808067845412
467,0.06830178575257233
468,0.0073366429006902585
469,0.1045906774084335
470,0.07982182144990223
471,0.0073366429006903894
472,0.5275127119136114
473,0.007336642900690386
474,0.009150453653623419
475,0.007336642900690506
476,0.007336642900690294
477,0.03354184445686705
478,0.10895660806924538
479,0.027316257198007676
480,0.19476994466545436
481,0.32069631144928984
482,1.0
483,0.06230072995546894
484,0.09967317736010081
485,0.05104234224104163
486,0.11788887759236329
487,0.5464646170245107
488,0.49608890035552955
489,0.12140827803690678
490,0.3247409814063553
491,0.17745945603638782
492,0.07164536776545131
493,0.19154793279187945
494,0.13798381834954168
495,0.37386189298044326
496,0.12140827803690678
497,0.09967317736010071
498,0.1713479189491741
499,0.05009452429049809
500,0.0012442177298426977
501,0.0004040484866721722
502,0.09967317736010084
503,0.17134791894917414
504,0.026009011717533264
505,0.05009452429049815
506,0.12140827803690671
507,0.002619270348528043
508,0.008065721601212208
509,0.00040404848667219913
510,0.12140827803690675
511,0.06442210034496026
512,0.0800915597560125
513,0.30693131777962324
514,0.19837995212666878
515,0.3247409814063552
516,0.15425993994830545
517,0.3247409814063552
518,0.3630243312125931
519,0.0030233188352001956
520,0.01919481066116298
521,0.0996731773601008
522,0.5276448885727882
523,0.22062311770807919
524,0.06220346368119329
525,0.3748355056968534
526,1.0
527,0.3247409814063555
528,0.07544581999815282
529,0.6829192998582272
530,0.1293056773513874
531,0.026014543035389737
532,0.5602257998006017
533,0.03561778469298377
534,0.8030252994035924
535,0.19919003931966556
536,0.2825598413978134
537,0.04269030710633702
538,0.05356502540720442
539,0.20645104297427666
540,0.11270980885737705
541,0.14125683214296425
542,0.3729425162244565
543,0.6167012706752506
544,0.23358363309185515
545,0.18774076911199022
546,0.30902945309000807
547,0.37876301574033666
548,0.009853346773191014
549,0.0415351410097838
550,0.1412568321429644
551,0.07819601963967476
552,0.4956681653435173
553,0.21219281342801777
554,0.2548831205343547
555,0.1674897381075615
556,0.30415628411789075
557,0.5163490975459085
558,0.015731975268065832
559,0.44220193405151603
560,0.05356502540720442
561,0.37876301574033666
562,0.09392799490774059
563,0.18774076911199025
564,0.05882955507914926
565,1.0
566,0.06705572495150917
567,0.37876301574033666
568,0.14142094972632246
569,0.013490699544304695
570,0.01349069954430463
571,0.3787630157403368
572,0.30945423586040804
573,0.006852893842624887
574,0.0007257450415462477
575,0.04105079138507429
576,0.11844743209411474
577,0.3094542358604082
578,0.01767919733236133
579,0.03425028602063159
580,0.3094542358604082
581,0.3094542358604082
582,0.08835939665112305
583,0.0448064519568132
584,0.0023452419047630345
585,0.07776050056260812
586,0.002120657027501855
587,0.03665405958831188
588,0.01270334127953304
589,0.34610829544871996
590,0.17824798306764084
591,0.0054709025011110924
592,0.10590344140925882
593,0.3422265043966979
594,0.003627223158836183
595,0.026611704287678773
596,0.2512827150237657
597,0.12711265478830275
598,0.5760075720794036
599,1.0
600,0.11844743209411487
601,0.039335549455702064
602,0.1782479830676409
603,0.07776050056260812
604,0.010598896088514949
605,0.07776050056260805
606,0.11995211024769059
607,0.10107455603742777
608,0.38276235503703193
609,0.07776050056260814
610,0.32662198258944325
611,0.08599560517789481
612,0.11844743209411472
613,0.34657392447695073
614,0.17824798306764097
615,0.011721355659427689
616,0.12285009755962323
617,0.2313452691222962
618,0.06624181383957993
619,0.32188020658702043
620,0.02341711112446026
621,0.13720482510020293
622,0.7733228915792075
623,0.2626782541788944
624,0.4039965427802641
625,0.17352330757118456
626,0.49085895249273476
627,0.20243428834674018
628,0.403996542780264
629,0.08178275263226621
630,0.009460431936182996
631,0.026761463778683804
632,0.5101176493320929
633,0.10612110655182883
634,0.14281661971234513
635,0.1735233075711847
636,0.051234747608348785
637,0.045547754886011954
638,0.7373445899148625
639,0.08178275263226643
640,0.02891098077555565
641,0.018111970500745974
642,0.18033144004611507
643,0.14281661971234508
644,0.1228500975596233
645,0.273376996153132
646,0.3475156798576422
647,0.31892475103914397
648,0.044831993799009415
649,0.27337699615313205
650,0.12884449682687094
651,0.12681976745582096
652,0.03751482033376984
653,0.12285009755962321
654,0.3040870021168526
655,0.08178275263226645
656,0.17352330757118456
657,1.0
658,0.04342867774078957
659,0.4341816319472472
660,0.006955655792708896
661,0.0397197493440504
662,0.0007591850820797109
663,0.014192523794670528
664,0.28772700703974113
665,0.4474394566150721
666,0.09025909498486794
667,0.03971974934405044
668,0.0069556557927089
669,0.3136969862978528
670,0.28772700703974113
671,0.006955655792708874
672,0.040385480414597524
673,0.04932635257527361
674,0.28772700703974113
675,0.2877270070397411
676,0.002420122332188791
677,0.00021843805145599173
678,0.008411175430099373
679,0.09025909498486784
680,0.015600621799494072
681,0.3136969862978529
682,0.13804664967916727
683,0.04013307907599599
684,0.0026385603836447044
685,0.007651990348019567
686,0.004488720218327404
687,0.12874041568334288
688,0.006955655792708973
689,0.024174497431686107
690,1.0
691,0.14036040909089711
692,0.11530868660759595
693,0.12874041568334282
694,0.03971974934405041
695,0.00242012233218869
696,0.000759185082079688
697,0.3606241796670787
698,0.15724203524364924
699,0.28772700703974113
700,0.09025909498486782
701,0.04973150039982017
702,0.31369698629785275
703,0.28772700703974113
704,0.01219528392765876
705,0.22730189435282466
706,0.20667714767185116
707,0.004663506903367889
708,0.03258980220289865
709,0.0031771257941453565
710,0.014255882331638905
711,0.0031771257941453314
712,0.39078800401263497
713,0.3336424246771531
714,0.03932536956538388
715,0.10283764071703129
716,0.08522382388316915
717,0.3336424246771531
718,0.08692080969586341
719,0.5007617118174449
720,0.01669760015444987
721,0.10650071336932922
722,0.5074840440688799
723,0.22730189435282494
724,0.2785042383231245
725,0.13289741225391613
726,0.19027439660538517
727,0.06902857534486759
728,0.037279784564716846
729,0.30951478838888136
730,0.008308329318759463
731,0.4889032003496713
732,0.00317712579414537
733,0.11835922483710264
734,0.4478995881927139
735,0.018919389235006943
736,1.0
737,0.047615470624945
738,0.7160449116574955
739,0.07903385527171942
740,0.14943830461651583
741,0.8724902060961335
742,0.08692080969586329
