,EC_Multi_layer_left_pli_gamma
160,0.07734116545768699
161,0.7962928317371577
162,0.3450499232103146
163,0.0337478786336151
164,0.05502310504267733
165,0.21595825476820343
166,0.21595825476820346
167,0.11990782392856657
168,0.13611341180914324
169,0.11592076753032515
170,0.23568813579013412
171,0.34504992321031447
172,0.03012541840680241
173,0.11592076753032514
174,0.6017310021569591
175,0.2747607804438305
176,0.13301624474837923
177,0.3399176843418859
178,0.406093675399286
179,0.5451382378920541
180,0.07542675910303157
181,0.1200908566145324
182,0.3008112226086714
183,0.09669454748058019
184,0.4863101807406772
185,0.7451726740071992
186,0.09870212865075711
187,0.12009085661453232
188,0.03416159726840814
189,0.057916128507278654
190,0.014076666328917013
191,0.8420476057600288
192,0.19259403372478953
193,0.06466957144478122
194,0.13301624474837936
195,0.3399176843418862
196,0.16020013170551897
197,0.022847367434661855
198,0.263264986993909
199,0.1925940337247896
200,0.0846254623218405
201,0.07774633822835256
202,0.3133508288424683
203,0.14347043296339224
204,0.14261765699831044
205,0.40367988937523047
206,0.23953273379615875
207,0.02664781660265284
208,0.10627478082607272
209,0.3532939359922979
210,0.1925940337247896
211,0.22006134356647256
212,0.11070494766820424
213,0.37650305085134306
214,0.08462546232184032
215,0.29749031293185146
216,1.0
217,0.03984406437483767
218,0.1639318499611645
219,0.026647816602652905
220,0.17705771181628346
221,0.2943027962800165
222,0.3878453109105672
223,0.37874847520833443
224,0.04198968134657117
225,0.0419896813465712
226,0.024183332224494557
227,0.045793236987125896
228,0.028621943292494352
229,0.29430279628001654
230,0.10826399124947406
231,0.13279063298638888
232,0.3333834508877041
233,0.13374958637853349
234,0.29430279628001654
235,0.014376443927650523
236,0.024183332224494536
237,0.14953258078782092
238,0.0286219432924943
239,0.29430279628001654
240,0.45651631419906735
241,0.060621090331107276
242,0.024183332224494654
243,0.08359690925097066
244,0.15630223861359477
245,0.1296760547329178
246,0.07063293392406723
247,1.0
248,0.05799551028691184
249,0.4381395606761116
250,0.028621943292494317
251,0.1296760547329178
252,0.12967605473291788
253,0.15829799802541225
254,0.019856526054903043
255,0.27968645311046836
256,0.34238040077016374
257,0.12967605473291777
258,0.11414395952507242
259,0.12264043517712465
260,0.2742199819575811
261,0.8595783976477638
262,0.43626794809198743
263,0.0419896813465712
264,0.3341113775445038
265,0.2031647110546761
266,0.17327663164687873
267,0.8079005249572111
268,0.02504332861369724
269,0.3209656256108695
270,0.6285563245722476
271,0.018070177600164262
272,0.04486079835724285
273,0.22626010574842953
274,0.031971674538189214
275,0.09634173806012736
276,0.18279565821103
277,0.5586729564279322
278,0.25994266989524045
279,0.07827156045996324
280,0.3599679088463658
281,0.010356796119008811
282,0.0390478753809804
283,0.1768392585415304
284,0.09357101930213094
285,0.4189928601030169
286,0.009014794631624842
287,0.08881812448407643
288,0.11553732506271033
289,0.0037281142413077553
290,0.03197167453818912
291,0.06295979312890572
292,0.08316772251885568
293,0.016148447773835395
294,0.49126395491272934
295,0.25994266989524045
296,0.07313277618972787
297,1.0
298,0.1768392585415305
299,0.050199412658966845
300,0.06237402674586896
301,0.09357101930213091
302,0.23104204701300657
303,0.10847599027958367
304,0.2174403843687339
305,0.12026937389647364
306,0.42292770197527135
307,0.17490390554724963
308,0.24673861251209633
309,0.007003021647377512
310,0.28781187262660796
311,0.0033043106082801554
312,0.09545036142505942
