,EC_Multi_layer_right_pli_gamma
205,0.000381097179417319
206,0.022796381184886
207,0.0814856303719149
208,0.03475978043535314
209,0.2450223338813838
210,0.028099410109259537
211,0.2450223338813838
212,0.006884983045660961
213,0.08148563037191492
214,0.026275759428541816
215,0.026275759428541823
216,0.24502233388138372
217,0.008516922527474704
218,0.026275759428541816
219,0.2450223338813838
220,0.2409233745341966
221,0.05312551962760662
222,0.07766047725900219
223,0.14569898554744792
224,0.046965358905684616
225,0.024374405930797764
226,0.6647780899274954
227,0.04696535890568459
228,0.21588989764654884
229,0.32234513321570163
230,0.06554461658420149
231,0.02437440593079779
232,0.058651720120729924
233,0.045756481540724134
234,0.4050314933314202
235,0.21428798195655824
236,0.07708423196744582
237,0.14194872770145292
238,0.21588989764654895
239,0.053125519627606727
240,0.1822087767816965
241,0.35972260909654286
242,0.3223451332157016
243,0.059901922293909345
244,0.12719934856372664
245,0.1456989855474478
246,0.12719934856372672
247,0.394606077327091
248,0.2142879819565582
249,1.0
250,0.018906096535646594
251,0.13055993067447152
252,0.23913570897893469
253,0.1648094360775003
254,0.11595483234992486
255,0.6697476567827781
256,0.3223451332157018
257,0.07561586454754239
258,0.02112798816440656
259,0.18583163237592712
260,0.058734112424765984
261,0.16304707749128217
262,0.44098116793437725
263,0.052557431914358195
264,0.02014913286956318
265,0.024053224415810568
266,0.05803886969357648
267,0.413514415830271
268,0.006184623609096552
269,0.050707910848409546
270,1.0
271,0.31312704386773343
272,0.05803886969357649
273,0.05076337065085318
274,0.12631119254857595
275,0.10870712068058683
276,0.35267849419787706
277,0.1702262026328243
278,0.4115142913193397
279,0.0061846236090965356
280,0.1503700982249889
281,0.01587801822467109
282,0.020379068722182175
283,0.02088755159936342
284,0.1670885837608764
285,0.052319954297089494
286,0.34716618321381854
287,0.06670631620112154
288,0.020887551599363376
289,0.16211749079167934
290,0.18535246581286163
291,0.3131270438677334
292,0.019751164040973036
293,0.02698689170968976
294,0.02088755159936341
295,0.05076337065085316
296,0.009368936191657686
297,0.3131270438677335
298,0.3131270438677335
299,0.06434810810552112
300,0.41621036881567586
301,0.06508242938859797
302,0.12885625355014993
303,0.024053224415810568
304,0.020379068722182186
305,0.05330242761924614
306,0.0029336672938792105
307,0.07681618335709985
308,0.3533669008904631
309,0.10982142230827177
310,0.17839509081910834
311,0.2162622995545042
312,0.09870829339691586
313,0.23317130941436845
314,0.025406113956463916
315,0.2793365568426951
316,0.3533669008904631
317,0.1783950908191084
318,0.015696751838431167
319,0.09415155505021633
320,0.05881169384181346
321,0.02540611395646403
322,0.0823950229843266
323,0.015696751838431125
324,0.04016257564786125
325,0.35336690089046313
326,0.015696751838431146
327,0.09415155505021626
328,0.03327004322211284
329,0.23000889414141718
330,0.1271810463986591
331,0.07189726568176631
332,0.3533669008904632
333,0.07189726568176649
334,0.35336690089046296
335,0.2814772523962704
336,0.41217859473227664
337,0.033270043222112716
338,0.1780573838997018
339,0.09870829339691584
340,0.1783950908191083
341,0.038807255652456844
342,0.6120049699322045
343,0.6509067305449624
