,EC_Multi_layer_right_hbr
246,0.33188511055907477
247,1.0
248,0.41363278779313833
249,0.06145898983755641
250,0.05302140348854381
251,0.19827173251849564
252,0.12454575860529282
253,0.2395330172921033
254,0.04417230698947575
255,0.022967495444026365
256,0.2717355687683989
257,0.053949989157829455
258,0.056214161953926346
259,0.02425841489673121
260,0.6382990702917485
261,0.14560576149724858
262,0.33613686130546544
263,0.4657346224687812
264,0.02758012602557248
265,0.3236911364734992
266,0.09632032310609598
267,0.0031837356326822933
268,0.19681969503397642
269,0.47272391597408825
270,0.1799720193242971
271,0.007646734618952962
272,0.7400434477975674
273,0.7774452733169858
274,0.07493176621933109
275,0.0020290106141272863
276,0.00407829456586719
277,0.0021485624286324187
278,0.47985170794217086
279,0.7417546094771662
280,0.004028518891574936
281,0.30883124609109974
282,0.01537478387519397
283,0.009347215211707543
284,0.32369113647349895
285,0.41635231132406797
286,0.05137129374578418
287,0.3750683428946401
288,0.264831387583251
289,1.0
290,0.0070754702905196825
291,0.0008447832588927254
292,0.15616057146867157
293,0.0010821485737419736
294,0.09459403724220837
295,0.07341523801918103
296,0.1820860541337606
297,0.1968196950339763
298,0.2610068760492485
299,0.0004505550598735057
300,0.005675312549303904
301,0.07341523801918114
302,0.17632960361312452
303,0.013631034090469427
304,0.2097007067932568
305,0.5036616852837315
306,0.05086749526062476
307,0.027063869436068876
308,0.00487271042226021
309,0.42621369148253946
310,0.22774177178873783
311,0.003685240195324758
312,0.20198251913754184
313,0.36784454163907776
314,0.06895170606562538
315,0.13936554608817625
316,0.9541830129725641
317,1.0
318,0.0014916898398965534
319,0.34430449182594924
320,0.053088570211078
321,0.027867959696512165
322,0.40477411534505237
323,0.37827122034291494
324,0.2291791961456706
325,0.12445184604394435
326,0.006564203943402232
327,0.010095899079960651
328,0.4047741153450524
329,0.001972347050503091
330,0.09218397420290131
331,0.7067824628463136
332,0.5106804309971908
333,0.8466417810695681
334,0.018377853113172023
335,0.7112434201804405
336,0.3074599914519102
337,0.13115604036543227
338,0.006121056734534634
339,0.0391900945568733
340,0.011280228732627372
341,0.5661903453245896
342,0.0019723470505029605
343,0.2291791961456704
344,0.22917919614567034
345,0.0074388792358256045
346,0.0019723470505029687
347,0.0921839742029012
348,0.20632498563983653
349,0.08351501353594543
350,0.12445184604394428
351,0.001491689839896522
352,4.788815667475067e-05
353,0.0003229154666649864
354,0.0002546886911093231
355,0.0006343176272097037
356,0.006400102548523844
357,0.002787716914850561
358,0.0001623397478934054
359,0.00021201675955171545
360,0.00010874441903726722
361,0.032308909200098365
