,EC_Multi_layer_left_hbr
140,0.12892358213509778
141,0.46127280534979603
142,0.009582429400715789
143,0.05596726029755777
144,0.10574742494063144
145,0.1779216687007874
146,0.15585680608446564
147,0.41570120657400667
148,0.008271622519186197
149,0.1218111593020904
150,0.06549868676571517
151,0.10159467536657334
152,0.31013521273517325
153,0.06478986234208328
154,0.1218111593020904
155,0.7570659372498013
156,0.3147132235708235
157,0.5064648853145104
158,0.023265657634336082
159,0.2640761776747662
160,0.29302575353580196
161,0.4280037341414645
162,0.08291432049751596
163,0.07436679224905285
164,0.22854720337781137
165,0.023051242693493856
166,0.1994565307636525
167,0.09500734820327103
168,0.04586903989731774
169,0.13605712797670821
170,0.25438325236567594
171,0.031322865212679823
172,0.003438523461550439
173,0.6352547779477109
174,0.17889481933898027
175,0.4547798541514656
176,0.2194594188121165
177,0.0007111970921417664
178,0.0004154886700816062
179,0.40760709629622943
180,0.003963401556431394
181,0.009723583304719643
182,0.39662990915081714
183,0.08310451856512573
184,0.001139869054823348
185,0.00021454524640675935
186,0.5636368093130415
187,0.01797692306774882
188,0.01578288515417302
189,0.038720830175887185
190,0.0002465783765471159
191,0.0020852926284266682
192,0.1556148221453096
193,0.014723296287549207
194,0.24882482042571313
195,0.10142276254015559
196,0.00021454524640685075
197,0.0035818511779851067
198,0.0006049413241028224
199,0.0005263530697974166
200,0.002956732730370521
201,0.00025729278115892075
202,0.39662990915081725
203,0.04826906339119073
204,0.00010487436342624704
205,0.07921259094947715
206,0.24212376775745614
207,0.5090298588363851
208,0.9730691952000895
209,0.020396391937440965
210,0.38279439792534253
211,0.008787509370009045
212,0.035316048274347006
213,0.24212376775745612
214,0.594012640990656
215,0.15602971301681248
216,0.005168586799181625
217,0.0010193362035569456
218,0.006001320047676943
219,1.0
220,0.37562004822968675
221,0.00013495929021351845
222,7.011966416707385e-05
223,0.45278585710212466
224,0.003129034803868721
225,0.002287596574162894
226,0.41282503836229745
227,0.9098770988305246
228,0.0004154782070738187
229,0.0001640781624127885
230,0.4582387597120419
231,5.571457415978686e-05
232,2.7323354034587927e-05
233,0.31883728190198335
234,0.0006767103724554843
235,0.001188547326207474
236,0.3756200482296867
237,6.773557369246772e-05
238,1.0
239,0.6019974719195124
240,0.0003297164875091946
241,0.00024417018272114663
242,3.489393488464166e-05
243,0.00021912698755365858
244,0.0012237401289553911
245,0.00013300190473243922
246,1.4405090007299723e-05
247,0.0005914616605858147
248,0.00020108219762607395
249,0.018180158021889006
250,0.05084350476020898
251,0.03434852723877774
252,0.12315993468300337
253,0.2054358100323028
254,0.18692133882809006
255,0.13162401313251687
256,6.618628110091488e-05
257,0.009689882093201303
258,0.1824675178927258
259,0.06502343683524589
260,0.005291969859796124
261,0.189172433557215
262,0.497634084519872
263,5.490651642339717e-05
264,0.011627440682864285
265,0.3825368664981393
266,0.021526830588120282
267,0.0015850820575724156
268,0.248411842304686
269,0.41371971415376607
270,0.11468605047401376
271,0.0006063523234461186
272,1.0
273,0.3825368664981391
274,0.007864782366914038
275,0.056273871810535246
276,0.038995195433771494
277,0.0678305430437294
278,0.5408172651728249
279,0.8331040856660853
280,0.020559540937611278
281,0.20688254196730574
282,0.0003279258052971469
283,0.000731796033448308
284,0.4751320437128303
285,0.025947683388815455
286,0.045880471328029644
287,0.39079722488552504
288,0.37332305137151
289,0.20688254196730577
290,0.027021108003002673
291,0.09937784378567997
292,0.15763197417880942
293,0.12097437114507971
294,0.005748740888375761
295,0.1884895412776489
296,0.07063661144705397
297,0.05139207339077482
298,0.019659362717749426
299,0.026202380498279942
300,0.00012544371000221876
301,0.0028054576491950453
302,0.012222481856352805
303,0.03899519543377128
304,0.14280983026318134
305,0.24205556463704014
306,0.030395608113031214
307,0.10193839822745832
308,0.009322458075479961
309,0.17600175113003713
310,0.6400834097526195
311,0.038166607234935465
312,0.04577083702880802
313,0.1106602300394917
314,0.012955020397316941
315,0.32099508027503065
316,0.4255197311586161
317,0.17600175113003713
318,0.004909259327130752
319,0.2770896987645004
320,0.0020305479982650446
321,0.007808028575562008
322,0.27900193162228604
323,0.176001751130037
324,0.7760703480782503
325,0.5320465262547022
326,0.022538922644495946
327,0.009322458075480159
328,0.22177258815884518
329,0.3984224669557161
330,0.3396686461874639
331,0.2490237104514281
332,0.9632666717121954
333,1.0
334,0.013968224555954104
335,0.5553115118704158
336,0.3230631139983225
337,0.002030547998264961
338,0.056427995596814516
339,0.2647487125426686
340,0.02596297154034794
341,0.11460872112759385
